mean_load,service_time,amplitude,method,plan,staff_hours,gap_vs_sgs,gap_vs_sgs_ucb,diff_by_hour,worst_late,worst_hour,hours_over_alpha,hours_significantly_over,late_by_hour,overall_late,mean_wait
24.0,16.0,0.3,OL-avg,"[21, 32, 27, 22, 21, 26, 31, 26]",206,11,8,"[3, -2, 3, 1, 2, 3, -1, 2]",0.0551,2,0,0,"[0.0157, 0.0318, 0.0551, 0.0328, 0.0261, 0.0164, 0.0244, 0.0368]",0.0292,2.689
24.0,16.0,0.3,OL-max,"[27, 34, 34, 25, 21, 28, 32, 32]",233,38,35,"[9, 0, 10, 4, 2, 5, 0, 8]",0.0051,6,0,0,"[0.0002, 0.0012, 0.0005, 0.0, 0.0042, 0.001, 0.0051, 0.003]",0.0019,0.791
24.0,16.0,0.3,SGS,"[18, 34, 24, 21, 19, 23, 32, 24]",195,0,-3,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1185,5,2,1,"[0.0727, 0.0315, 0.0919, 0.0996, 0.0929, 0.1185, 0.0755, 0.1063]",0.0829,4.715
24.0,16.0,0.3,SGS-UCB,"[18, 34, 25, 21, 19, 24, 32, 25]",198,3,0,"[0, 0, 1, 0, 0, 1, 0, 1]",0.0756,4,0,0,"[0.0727, 0.0306, 0.0709, 0.0708, 0.0756, 0.0747, 0.0519, 0.0624]",0.0616,4.004
24.0,16.0,0.6,SIPP,"[30, 41, 22, 15, 15, 30, 37, 22]",212,17,15,"[9, 2, -2, 0, 2, 6, 0, 0]",0.0788,3,0,0,"[0.0, 0.0022, 0.052, 0.0788, 0.0449, 0.0005, 0.0037, 0.0476]",0.0194,1.555
24.0,16.0,0.6,Lag-SIPP,"[22, 38, 27, 17, 15, 26, 35, 26]",206,11,9,"[1, -1, 3, 2, 2, 2, -2, 4]",0.0592,2,0,0,"[0.0123, 0.0222, 0.0592, 0.0235, 0.0144, 0.0049, 0.0224, 0.0445]",0.0241,2.504
24.0,16.0,0.6,OL-avg,"[22, 38, 27, 17, 15, 26, 35, 26]",206,11,9,"[1, -1, 3, 2, 2, 2, -2, 4]",0.0592,2,0,0,"[0.0123, 0.0222, 0.0592, 0.0235, 0.0144, 0.0049, 0.0224, 0.0445]",0.0241,2.504
24.0,16.0,0.6,OL-max,"[29, 41, 41, 23, 15, 29, 37, 37]",252,57,55,"[8, 2, 17, 8, 2, 5, 0, 15]",0.0021,4,0,0,"[0.0, 0.0003, 0.0001, 0.0, 0.0021, 0.0003, 0.0011, 0.0001]",0.0005,0.583
24.0,16.0,0.6,SGS,"[21, 39, 24, 15, 13, 24, 37, 22]",195,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0953,2,0,0,"[0.0229, 0.0192, 0.0953, 0.0898, 0.0899, 0.0461, 0.0254, 0.0896]",0.0488,3.549
24.0,16.0,0.6,SGS-UCB,"[21, 39, 25, 16, 12, 24, 37, 23]",197,2,0,"[0, 0, 1, 1, -1, 0, 0, 1]",0.0806,4,0,0,"[0.0229, 0.018, 0.0755, 0.0507, 0.0806, 0.0453, 0.0258, 0.0716]",0.0415,3.302
24.0,32.0,0.3,SIPP,"[29, 35, 25, 22, 22, 29, 33, 25]",220,24,21,"[14, 2, 0, 0, 2, 5, 0, 1]",0.0669,3,0,0,"[0.0, 0.0023, 0.0382, 0.0669, 0.0499, 0.0135, 0.0109, 0.0528]",0.0254,1.5
24.0,32.0,0.3,Lag-SIPP,"[15, 32, 31, 24, 22, 25, 31, 30]",210,14,11,"[0, -1, 6, 2, 2, 1, -2, 6]",0.0925,0,0,0,"[0.0925, 0.035, 0.0379, 0.016, 0.0193, 0.036, 0.0429, 0.0394]",0.0416,2.4
24.0,32.0,0.3,OL-avg,"[17, 31, 29, 24, 22, 26, 31, 29]",209,13,10,"[2, -2, 4, 2, 2, 2, -2, 5]",0.0619,2,0,0,"[0.0428, 0.038, 0.0619, 0.0313, 0.027, 0.0279, 0.0381, 0.0439]",0.039,2.327
24.0,32.0,0.3,OL-max,"[25, 33, 33, 27, 22, 28, 32, 32]",232,36,33,"[10, 0, 8, 5, 2, 4, -1, 8]",0.0126,6,0,0,"[0.0001, 0.0059, 0.0072, 0.0026, 0.0063, 0.007, 0.0126, 0.012]",0.0068,0.766
24.0,32.0,0.3,SGS,"[15, 33, 25, 22, 20, 24, 33, 24]",196,0,-3,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1093,4,3,0,"[0.0917, 0.0252, 0.0861, 0.1011, 0.1093, 0.096, 0.0461, 0.1056]",0.0781,3.675
24.0,32.0,0.3,SGS-UCB,"[15, 33, 25, 23, 20, 25, 33, 25]",199,3,0,"[0, 0, 0, 1, 0, 1, 0, 1]",0.0917,0,0,0,"[0.0917, 0.0252, 0.0853, 0.0812, 0.086, 0.0647, 0.0338, 0.0709]",0.0639,3.192
24.0,32.0,0.6,SIPP,"[31, 42, 23, 16, 16, 31, 39, 23]",221,31,28,"[15, 4, -2, 0, 2, 10, 2, 0]",0.0995,3,0,0,"[0.0, 0.0016, 0.0474, 0.0995, 0.0558, 0.002, 0.002, 0.0418]",0.0202,1.169
24.0,32.0,0.6,Lag-SIPP,"[16, 36, 33, 20, 16, 23, 34, 31]",209,19,16,"[0, -2, 8, 4, 2, 2, -3, 8]",0.0863,0,0,0,"[0.0863, 0.0434, 0.0435, 0.0104, 0.012, 0.0313, 0.0453, 0.0411]",0.0438,2.556
24.0,32.0,0.6,OL-avg,"[18, 35, 31, 20, 16, 24, 34, 30]",208,18,15,"[2, -3, 6, 4, 2, 3, -3, 7]",0.0687,2,0,0,"[0.0406, 0.0502, 0.0687, 0.015, 0.0144, 0.0214, 0.0413, 0.0455]",0.04,2.406
24.0,32.0,0.6,OL-max,"[27, 40, 40, 26, 17, 29, 37, 37]",253,63,60,"[11, 2, 15, 10, 3, 8, 0, 14]",0.0039,4,0,0,"[0.0, 0.0015, 0.0009, 0.0, 0.0039, 0.0015, 0.0036, 0.0022]",0.0017,0.385
24.0,32.0,0.6,SGS,"[16, 38, 25, 16, 14, 21, 37, 23]",190,0,-3,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1167,3,4,0,"[0.0863, 0.0234, 0.0938, 0.1167, 0.1045, 0.1043, 0.0339, 0.1078]",0.073,3.531
24.0,32.0,0.6,SGS-UCB,"[16, 38, 26, 16, 15, 21, 37, 24]",193,3,0,"[0, 0, 1, 0, 1, 0, 0, 1]",0.0952,3,0,0,"[0.0863, 0.0227, 0.0767, 0.0952, 0.0745, 0.0909, 0.0302, 0.0821]",0.0626,3.177
