mean_load,service_time,amplitude,method,plan,staff_hours,gap_vs_sgs,gap_vs_sgs_ucb,diff_by_hour,worst_late,worst_hour,hours_over_alpha,hours_significantly_over,late_by_hour,overall_late,mean_wait
2.0,16.0,0.6,SGS-UCB,"[3, 5, 4, 3, 2, 3, 5, 4]",29,2,0,"[0, 0, 1, 0, 0, 0, 0, 1]",0.084,5,0,0,"[0.0552, 0.0405, 0.0416, 0.0244, 0.0798, 0.084, 0.0292, 0.0291]",0.0473,2.053
2.0,32.0,0.3,SIPP,"[4, 5, 4, 4, 4, 4, 5, 4]",34,4,2,"[1, 1, 0, 0, 1, 0, 1, 0]",0.0521,2,0,0,"[0.0083, 0.0275, 0.0521, 0.0402, 0.0254, 0.0388, 0.0299, 0.0515]",0.0334,1.211
2.0,32.0,0.3,Lag-SIPP,"[3, 5, 5, 4, 4, 4, 5, 4]",34,4,2,"[0, 1, 1, 0, 1, 0, 1, 0]",0.0515,7,0,0,"[0.0315, 0.0281, 0.0183, 0.0274, 0.0182, 0.0364, 0.0286, 0.0515]",0.0303,1.117
2.0,32.0,0.3,OL-avg,"[3, 5, 4, 4, 4, 4, 5, 4]",33,3,1,"[0, 1, 0, 0, 1, 0, 1, 0]",0.0518,2,0,0,"[0.0315, 0.0292, 0.0518, 0.0402, 0.0254, 0.0388, 0.0299, 0.0515]",0.0367,1.346
2.0,32.0,0.3,OL-max,"[4, 5, 5, 4, 4, 4, 5, 5]",36,6,4,"[1, 1, 1, 0, 1, 0, 1, 1]",0.0359,5,0,0,"[0.0083, 0.0265, 0.018, 0.0274, 0.0182, 0.0359, 0.0277, 0.0168]",0.0228,0.847
2.0,32.0,0.3,SGS,"[3, 4, 4, 4, 3, 4, 4, 4]",30,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0935,6,0,0,"[0.0391, 0.0918, 0.0827, 0.0495, 0.0727, 0.0562, 0.0935, 0.0797]",0.0721,2.604
2.0,32.0,0.3,SGS-UCB,"[3, 5, 4, 4, 3, 4, 5, 4]",32,2,0,"[0, 1, 0, 0, 0, 0, 1, 0]",0.0679,4,0,0,"[0.0315, 0.0292, 0.0518, 0.0413, 0.0679, 0.0454, 0.031, 0.0518]",0.042,1.538
2.0,32.0,0.6,SIPP,"[5, 6, 4, 3, 3, 5, 5, 4]",35,5,4,"[2, 1, 0, 0, 0, 2, 0, 0]",0.063,3,0,0,"[0.0028, 0.0114, 0.048, 0.063, 0.0477, 0.0131, 0.0335, 0.0629]",0.0292,1.095
2.0,32.0,0.6,Lag-SIPP,"[3, 5, 5, 3, 3, 4, 5, 5]",33,3,2,"[0, 0, 1, 0, 0, 1, 0, 1]",0.0509,3,0,0,"[0.0395, 0.0465, 0.0313, 0.0509, 0.0431, 0.0327, 0.0396, 0.0257]",0.0387,1.408
2.0,32.0,0.6,OL-avg,"[3, 5, 5, 3, 3, 4, 5, 4]",32,2,1,"[0, 0, 1, 0, 0, 1, 0, 0]",0.0672,7,0,0,"[0.0395, 0.0465, 0.0313, 0.0509, 0.0431, 0.0327, 0.0411, 0.0672]",0.0431,1.565
2.0,32.0,0.6,OL-max,"[4, 5, 5, 4, 3, 4, 5, 5]",35,5,4,"[1, 0, 1, 1, 0, 1, 0, 1]",0.0418,1,0,0,"[0.0115, 0.0418, 0.0294, 0.0166, 0.0328, 0.0323, 0.0394, 0.0257]",0.0305,1.109
2.0,32.0,0.6,SGS,"[3, 5, 4, 3, 3, 3, 5, 4]",30,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1058,5,1,0,"[0.0395, 0.0483, 0.0675, 0.068, 0.0584, 0.1058, 0.0502, 0.0692]",0.0618,2.227
2.0,32.0,0.6,SGS-UCB,"[3, 5, 4, 4, 3, 3, 5, 4]",31,1,0,"[0, 0, 0, 1, 0, 0, 0, 0]",0.101,5,1,0,"[0.0395, 0.0483, 0.0669, 0.0292, 0.0461, 0.101, 0.0498, 0.0695]",0.0576,2.065
8.0,4.0,0.3,SIPP,"[10, 11, 8, 7, 7, 10, 11, 8]",72,4,4,"[2, 0, 0, 0, 1, 1, 0, 0]",0.0524,3,0,0,"[0.0, 0.0057, 0.0383, 0.0524, 0.03, 0.004, 0.0039, 0.0242]",0.017,2.376
8.0,4.0,0.3,Lag-SIPP,"[9, 11, 9, 7, 7, 9, 11, 9]",72,4,4,"[1, 0, 1, 0, 1, 0, 0, 1]",0.0214,3,0,0,"[0.0012, 0.0089, 0.0172, 0.0214, 0.0175, 0.0085, 0.0103, 0.0126]",0.0114,2.342
8.0,4.0,0.3,OL-avg,"[9, 11, 9, 7, 7, 9, 11, 9]",72,4,4,"[1, 0, 1, 0, 1, 0, 0, 1]",0.0214,3,0,0,"[0.0012, 0.0089, 0.0172, 0.0214, 0.0175, 0.0085, 0.0103, 0.0126]",0.0114,2.342
8.0,4.0,0.3,OL-max,"[10, 11, 11, 8, 7, 10, 11, 11]",79,11,11,"[2, 0, 3, 1, 1, 1, 0, 3]",0.0029,1,0,0,"[0.0, 0.0029, 0.001, 0.0004, 0.0018, 0.0007, 0.0014, 0.0009]",0.0012,1.226
8.0,4.0,0.3,SGS,"[8, 11, 8, 7, 6, 9, 11, 8]",68,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1127,4,2,0,"[0.0116, 0.0357, 0.1002, 0.0903, 0.1127, 0.062, 0.0288, 0.0532]",0.0567,4.418
8.0,4.0,0.3,SGS-UCB,"[7, 12, 8, 7, 6, 9, 11, 8]",68,0,0,"[-1, 1, 0, 0, 0, 0, 0, 0]",0.0976,4,0,0,"[0.0653, 0.0338, 0.0678, 0.0684, 0.0976, 0.0531, 0.0258, 0.05]",0.0544,4.515
8.0,4.0,0.6,SIPP,"[10, 14, 8, 5, 5, 10, 13, 8]",73,5,4,"[2, 0, 0, 0, 1, 1, 0, 1]",0.0408,3,0,0,"[0.0, 0.0013, 0.0204, 0.0408, 0.0252, 0.0017, 0.0029, 0.007]",0.0081,1.732
8.0,4.0,0.6,Lag-SIPP,"[10, 14, 8, 5, 5, 10, 12, 8]",72,4,3,"[2, 0, 0, 0, 1, 1, -1, 1]",0.0408,3,0,0,"[0.0, 0.0013, 0.0204, 0.0408, 0.0252, 0.0017, 0.0129, 0.038]",0.0131,2.102
8.0,4.0,0.6,OL-avg,"[10, 14, 8, 5, 5, 10, 12, 8]",72,4,3,"[2, 0, 0, 0, 1, 1, -1, 1]",0.0408,3,0,0,"[0.0, 0.0013, 0.0204, 0.0408, 0.0252, 0.0017, 0.0129, 0.038]",0.0131,2.102
8.0,4.0,0.6,OL-max,"[10, 14, 14, 8, 5, 10, 13, 13]",87,19,18,"[2, 0, 6, 3, 1, 1, 0, 6]",0.0025,4,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0025, 0.0006, 0.0015, 0.0002]",0.0005,1.025
8.0,4.0,0.6,SGS,"[8, 14, 8, 5, 4, 9, 13, 7]",68,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1173,4,1,1,"[0.0191, 0.0138, 0.0536, 0.0652, 0.1173, 0.0382, 0.0188, 0.0657]",0.0383,3.939
8.0,4.0,0.6,SGS-UCB,"[8, 14, 8, 5, 5, 9, 13, 7]",69,1,0,"[0, 0, 0, 0, 1, 0, 0, 0]",0.0627,3,0,0,"[0.0191, 0.0138, 0.0536, 0.0627, 0.0381, 0.0134, 0.0095, 0.0504]",0.0263,3.361
8.0,8.0,0.3,SIPP,"[10, 12, 9, 8, 8, 10, 11, 9]",77,6,5,"[3, 0, 0, 1, 1, 1, 0, 0]",0.0475,7,0,0,"[0.0011, 0.0066, 0.0247, 0.024, 0.0109, 0.0075, 0.025, 0.0475]",0.0176,2.02
8.0,8.0,0.3,Lag-SIPP,"[9, 12, 9, 8, 8, 10, 11, 9]",76,5,4,"[2, 0, 0, 1, 1, 1, 0, 0]",0.0474,7,0,0,"[0.0074, 0.0121, 0.0312, 0.0251, 0.0112, 0.0077, 0.025, 0.0474]",0.0202,2.234
8.0,8.0,0.3,OL-avg,"[9, 12, 9, 8, 8, 10, 11, 9]",76,5,4,"[2, 0, 0, 1, 1, 1, 0, 0]",0.0474,7,0,0,"[0.0074, 0.0121, 0.0312, 0.0251, 0.0112, 0.0077, 0.025, 0.0474]",0.0202,2.234
8.0,8.0,0.3,OL-max,"[10, 12, 12, 9, 8, 10, 11, 11]",83,12,11,"[3, 0, 3, 2, 1, 1, 0, 2]",0.0222,6,0,0,"[0.0011, 0.0048, 0.0023, 0.0002, 0.0025, 0.0073, 0.0222, 0.0124]",0.0072,1.347
8.0,8.0,0.3,SGS,"[7, 12, 9, 7, 7, 9, 11, 9]",71,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.091,3,0,0,"[0.0898, 0.0571, 0.0742, 0.091, 0.0889, 0.0589, 0.0564, 0.0715]",0.0714,4.322
8.0,8.0,0.3,SGS-UCB,"[7, 12, 9, 8, 7, 9, 11, 9]",72,1,0,"[0, 0, 0, 1, 0, 0, 0, 0]",0.0898,0,0,0,"[0.0898, 0.0571, 0.0721, 0.0442, 0.0382, 0.0433, 0.0517, 0.068]",0.0588,3.882
8.0,8.0,0.6,SIPP,"[11, 14, 8, 6, 6, 11, 13, 8]",77,7,5,"[3, 0, -1, 1, 1, 3, 0, 0]",0.0743,2,0,0,"[0.0002, 0.0091, 0.0743, 0.0528, 0.0145, 0.0009, 0.0114, 0.053]",0.0215,1.971
8.0,8.0,0.6,Lag-SIPP,"[9, 14, 9, 6, 6, 10, 13, 9]",76,6,4,"[1, 0, 0, 1, 1, 2, 0, 1]",0.0494,2,0,0,"[0.011, 0.0152, 0.0494, 0.0268, 0.0076, 0.0051, 0.016, 0.0259]",0.0182,2.178
8.0,8.0,0.6,OL-avg,"[9, 14, 9, 6, 6, 10, 13, 9]",76,6,4,"[1, 0, 0, 1, 1, 2, 0, 1]",0.0494,2,0,0,"[0.011, 0.0152, 0.0494, 0.0268, 0.0076, 0.0051, 0.016, 0.0259]",0.0182,2.178
8.0,8.0,0.6,OL-max,"[11, 14, 14, 8, 6, 11, 13, 13]",90,20,18,"[3, 0, 5, 3, 1, 3, 0, 5]",0.0056,6,0,0,"[0.0002, 0.004, 0.0016, 0.0003, 0.0013, 0.0009, 0.0056, 0.0011]",0.0023,1.009
8.0,8.0,0.6,SGS,"[8, 14, 9, 5, 5, 8, 13, 8]",70,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1176,7,2,0,"[0.042, 0.0296, 0.0666, 0.093, 0.0851, 0.1004, 0.0731, 0.1176]",0.0698,4.391
8.0,8.0,0.6,SGS-UCB,"[8, 14, 9, 6, 5, 9, 13, 8]",72,2,0,"[0, 0, 0, 1, 0, 1, 0, 0]",0.0843,7,0,0,"[0.042, 0.0296, 0.0651, 0.0376, 0.0344, 0.0282, 0.0336, 0.0843]",0.042,3.379
8.0,16.0,0.3,SIPP,"[11, 13, 9, 8, 8, 11, 12, 9]",81,6,3,"[4, 1, -1, 0, 1, 1, 0, 0]",0.0691,7,0,0,"[0.0013, 0.0091, 0.05, 0.0666, 0.0524, 0.0139, 0.0257, 0.0691]",0.0322,2.0
8.0,16.0,0.3,Lag-SIPP,"[8, 12, 10, 9, 8, 10, 12, 10]",79,4,1,"[1, 0, 0, 1, 1, 0, 0, 1]",0.0646,2,0,0,"[0.0379, 0.0552, 0.0646, 0.0359, 0.031, 0.0277, 0.0316, 0.0365]",0.0404,2.462
8.0,16.0,0.3,OL-avg,"[8, 12, 10, 9, 8, 10, 12, 10]",79,4,1,"[1, 0, 0, 1, 1, 0, 0, 1]",0.0646,2,0,0,"[0.0379, 0.0552, 0.0646, 0.0359, 0.031, 0.0277, 0.0316, 0.0365]",0.0404,2.462
8.0,16.0,0.3,OL-max,"[11, 13, 13, 10, 8, 11, 12, 12]",90,15,12,"[4, 1, 3, 2, 1, 1, 0, 3]",0.0208,6,0,0,"[0.0013, 0.0065, 0.0029, 0.0021, 0.0167, 0.0089, 0.0208, 0.0107]",0.0089,0.993
8.0,16.0,0.3,SGS,"[7, 12, 10, 8, 7, 10, 12, 9]",75,0,-3,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0959,4,0,0,"[0.0855, 0.0766, 0.0781, 0.0685, 0.0959, 0.0498, 0.0407, 0.0803]",0.0704,3.523
8.0,16.0,0.3,SGS-UCB,"[8, 12, 10, 8, 8, 10, 12, 10]",78,3,0,"[1, 0, 0, 0, 1, 0, 0, 1]",0.0659,2,0,0,"[0.0379, 0.0552, 0.0659, 0.0632, 0.052, 0.0338, 0.0329, 0.0383]",0.0464,2.685
8.0,16.0,0.6,SIPP,"[11, 15, 9, 6, 6, 11, 14, 9]",81,6,4,"[4, 0, 0, 0, 0, 2, 0, 0]",0.079,3,0,0,"[0.0018, 0.0098, 0.0529, 0.079, 0.0479, 0.0071, 0.0154, 0.0486]",0.0246,1.681
8.0,16.0,0.6,Lag-SIPP,"[9, 14, 10, 7, 6, 10, 13, 10]",79,4,2,"[2, -1, 1, 1, 0, 1, -1, 1]",0.0587,2,0,0,"[0.0202, 0.0375, 0.0587, 0.0359, 0.0282, 0.0152, 0.0403, 0.0512]",0.0352,2.322
8.0,16.0,0.6,OL-avg,"[9, 14, 10, 7, 6, 10, 13, 10]",79,4,2,"[2, -1, 1, 1, 0, 1, -1, 1]",0.0587,2,0,0,"[0.0202, 0.0375, 0.0587, 0.0359, 0.0282, 0.0152, 0.0403, 0.0512]",0.0352,2.322
8.0,16.0,0.6,OL-max,"[11, 15, 15, 9, 6, 11, 14, 14]",95,20,18,"[4, 0, 6, 3, 0, 2, 0, 5]",0.0151,4,0,0,"[0.0018, 0.0054, 0.0022, 0.0007, 0.0151, 0.0048, 0.0108, 0.0045]",0.0057,0.862
8.0,16.0,0.6,SGS,"[7, 15, 9, 6, 6, 9, 14, 9]",75,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0991,0,0,0,"[0.0991, 0.0352, 0.077, 0.0919, 0.0554, 0.0421, 0.0301, 0.0632]",0.0565,3.141
8.0,16.0,0.6,SGS-UCB,"[8, 15, 9, 7, 6, 9, 14, 9]",77,2,0,"[1, 0, 0, 1, 0, 0, 0, 0]",0.0643,2,0,0,"[0.0456, 0.0235, 0.0643, 0.0527, 0.0333, 0.038, 0.0287, 0.0629]",0.0404,2.55
8.0,32.0,0.3,SIPP,"[12, 14, 10, 9, 9, 12, 13, 10]",89,11,7,"[6, 2, 0, 0, 1, 2, 0, 0]",0.0679,7,0,0,"[0.0001, 0.0088, 0.0581, 0.0634, 0.0472, 0.0154, 0.0187, 0.0679]",0.0312,1.384
8.0,32.0,0.3,Lag-SIPP,"[7, 12, 12, 10, 9, 10, 12, 12]",84,6,2,"[1, 0, 2, 1, 1, 0, -1, 2]",0.0583,2,0,0,"[0.0457, 0.0564, 0.0583, 0.0319, 0.035, 0.0436, 0.0494, 0.0452]",0.0468,2.073
8.0,32.0,0.3,OL-avg,"[7, 12, 12, 10, 9, 10, 12, 11]",83,5,1,"[1, 0, 2, 1, 1, 0, -1, 1]",0.0688,7,0,0,"[0.0457, 0.0564, 0.0583, 0.0319, 0.035, 0.0436, 0.0506, 0.0688]",0.0497,2.174
8.0,32.0,0.3,OL-max,"[10, 13, 13, 11, 9, 11, 13, 13]",93,15,11,"[4, 1, 3, 2, 1, 1, 0, 3]",0.0216,2,0,0,"[0.0028, 0.0194, 0.0216, 0.009, 0.0215, 0.0208, 0.0187, 0.0167]",0.0164,0.87
8.0,32.0,0.3,SGS,"[6, 12, 10, 9, 8, 10, 13, 10]",78,0,-4,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1223,2,1,1,"[0.0889, 0.0734, 0.1223, 0.093, 0.0887, 0.0583, 0.0322, 0.0714]",0.0758,3.145
8.0,32.0,0.3,SGS-UCB,"[7, 12, 11, 9, 9, 10, 13, 11]",82,4,0,"[1, 0, 1, 0, 1, 0, 0, 1]",0.0801,2,0,0,"[0.0457, 0.0584, 0.0801, 0.0665, 0.0522, 0.049, 0.0263, 0.0438]",0.0515,2.258
8.0,32.0,0.6,SIPP,"[12, 16, 9, 7, 7, 12, 15, 9]",87,10,8,"[5, 2, -1, 0, 1, 3, 1, -1]",0.0953,3,0,0,"[0.0002, 0.0102, 0.0829, 0.0953, 0.0439, 0.0069, 0.0114, 0.0719]",0.03,1.339
8.0,32.0,0.6,Lag-SIPP,"[7, 14, 13, 8, 7, 9, 13, 12]",83,6,4,"[0, 0, 3, 1, 1, 0, -1, 2]",0.0576,6,0,0,"[0.0546, 0.0476, 0.043, 0.0256, 0.0213, 0.05, 0.0576, 0.049]",0.0473,2.164
8.0,32.0,0.6,OL-avg,"[8, 14, 12, 8, 7, 10, 13, 12]",84,7,5,"[1, 0, 2, 1, 1, 1, -1, 2]",0.0506,6,0,0,"[0.027, 0.0425, 0.0497, 0.0341, 0.024, 0.0266, 0.0506, 0.0466]",0.0389,1.824
8.0,32.0,0.6,OL-max,"[11, 15, 15, 10, 7, 11, 14, 14]",97,20,18,"[4, 1, 5, 3, 1, 2, 0, 4]",0.02,6,0,0,"[0.0011, 0.0158, 0.0127, 0.0009, 0.0146, 0.0119, 0.02, 0.0126]",0.0122,0.72
8.0,32.0,0.6,SGS,"[7, 14, 10, 7, 6, 9, 14, 10]",77,0,-2,"[0, 0, 0, 0, 0, 0, 0, 0]",0.1068,2,2,0,"[0.0546, 0.0522, 0.1068, 0.1003, 0.0855, 0.0606, 0.0348, 0.0669]",0.063,2.759
8.0,32.0,0.6,SGS-UCB,"[7, 14, 10, 8, 6, 9, 14, 11]",79,2,0,"[0, 0, 0, 1, 0, 0, 0, 1]",0.1052,2,1,0,"[0.0546, 0.0522, 0.1052, 0.0648, 0.0635, 0.0565, 0.0334, 0.0454]",0.0561,2.507
24.0,4.0,0.3,SIPP,"[27, 32, 23, 19, 19, 27, 30, 23]",200,7,6,"[4, 0, 0, 0, 1, 1, 0, 1]",0.0171,3,0,0,"[0.0, 0.0002, 0.0061, 0.0171, 0.0142, 0.0022, 0.0037, 0.0111]",0.0058,2.148
24.0,4.0,0.3,Lag-SIPP,"[25, 32, 24, 20, 19, 26, 30, 23]",199,6,5,"[2, 0, 1, 1, 1, 0, 0, 1]",0.0142,7,0,0,"[0.0, 0.0004, 0.005, 0.0048, 0.0045, 0.0007, 0.0038, 0.0142]",0.0038,2.208
24.0,4.0,0.3,OL-avg,"[25, 32, 24, 20, 19, 26, 30, 23]",199,6,5,"[2, 0, 1, 1, 1, 0, 0, 1]",0.0142,7,0,0,"[0.0, 0.0004, 0.005, 0.0048, 0.0045, 0.0007, 0.0038, 0.0142]",0.0038,2.208
24.0,4.0,0.3,OL-max,"[27, 32, 32, 23, 19, 27, 30, 30]",220,27,26,"[4, 0, 9, 4, 1, 1, 0, 8]",0.0003,6,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0003, 0.0001]",0.0001,0.969
24.0,4.0,0.3,SGS,"[23, 32, 23, 19, 18, 26, 30, 22]",193,0,-1,"[0, 0, 0, 0, 0, 0, 0, 0]",0.0833,7,0,0,"[0.0003, 0.0044, 0.038, 0.0679, 0.0796, 0.0218, 0.0219, 0.0833]",0.0348,4.3
