office,patience,plan_type,regime,told,told_would_serve,precision,recall,eps
R8_S16_A0.6,exp30,phi=1.00,C0-M15,1256,841,0.2069,0.2191,1.345
R8_S16_A0.6,exp30,phi=1.00,T0.7,831,518,0.2741,0.164,1.0096
R8_S16_A0.6,exp30,phi=1.00,B30,7076,5896,0.0098,0.1657,5.3808
R8_S16_A0.6,exp30,phi=1.00,B60,2186,1594,0.069,0.1752,1.7757
R8_S16_A0.6,exp30,phi=0.90,O-M15,17160,2624,1.0,1.0,0.3355
R8_S16_A0.6,exp30,phi=0.90,C0-M12.5,10021,7028,0.1463,0.4391,1.4693
R8_S16_A0.6,exp30,phi=0.90,C0-M15,6524,4350,0.217,0.3155,1.0994
R8_S16_A0.6,exp30,phi=0.90,T0.7,5265,3405,0.2731,0.2899,0.9705
R8_S16_A0.6,exp30,phi=0.90,B30,16671,13701,0.0189,0.1573,2.7029
R8_S16_A0.6,exp30,phi=0.90,B60,8640,6451,0.0657,0.1955,1.2441
R8_S16_A0.6,exp30,phi=0.85,O-M15,34080,7943,1.0,1.0,0.4147
R8_S16_A0.6,exp30,phi=0.85,C0-M12.5,29142,20402,0.1408,0.5445,1.4306
R8_S16_A0.6,exp30,phi=0.85,C0-M15,21723,14352,0.2333,0.4459,1.1593
R8_S16_A0.6,exp30,phi=0.85,T0.7,18170,11887,0.27,0.4024,1.0622
R8_S16_A0.6,exp30,phi=0.85,B30,34919,28632,0.0363,0.2225,1.7808
R8_S16_A0.6,exp30,phi=0.85,B60,24041,18655,0.0456,0.1693,1.1047
