c,S,patience,rho,H_visits,C_visits,H_late_share,C_late_share,eps,kappa,theta_prime,eps_linear,relax_H,relax_C,H_kpi,C_kpi,H_lost_min,C_lost_min
1,8.0,exp30,0.8,1.4386798904989544,1.615310531747538,0.22797383832843943,0.0,0.7747846969796324,0.24461208754403116,0.28815035690897806,0.84890433649992,2.719570154890673,3.470410416031112,0.4633787774681345,0.380923989322263,13.16039728326696,4.687976892389856
1,8.0,exp30,0.9,1.6692531504907693,1.9548993020148764,0.35585983776294194,0.0,0.8026928616608653,0.1471180447231235,0.1520300661725794,0.9676904603601243,4.756110528816058,6.5776462852080435,0.6141147542254584,0.4884647004736665,20.077595365043557,6.235918072185717
1,8.0,exp30,0.95,1.9116244244978442,2.3242311521876595,0.4788738092177106,-1.290207469854898e-16,0.8616189061662206,0.09173133999846701,0.07828702944569658,1.1717310089290847,8.652625365901516,12.77350803933167,0.7273909120934244,0.5697501950015773,27.348733812276183,7.527687902962237
1,8.0,exp30,0.97,2.093918060249936,2.6103930746571486,0.5614341839332503,1.4490592474032108e-16,0.9199208548167368,0.06587486110817438,0.0475626693031002,1.385011860633326,13.679818048619223,21.024892308447868,0.7905525414808252,0.6169159312792993,32.81754301978741,8.33158264369193
1,8.0,exp30,0.99,2.4876136435023475,3.252476496631476,0.7084191468377731,-1.805487146806215e-16,1.0796755798361852,0.033482317580249124,0.01604940682351273,2.0862028078942334,37.8137888349395,62.307598716668906,0.8827869215447356,0.6925419750040683,44.628410737968906,9.701318512966457
1,8.0,exp30,0.995,2.7335445942380465,3.6696428450253324,0.7792568778693107,2.0370609893490446e-16,1.2012704377365526,0.02225788849091898,0.008040993699576478,2.7680519749805685,72.88624924326915,124.36273890535121,0.9192465626512966,0.7274939163750971,52.00633936590158,10.361011665823986
1,8.0,exp30,0.999,3.2910485111201138,4.657403378676076,0.8893895699779497,0.0,1.5362838891733772,0.008968621951674796,0.0016043142373471228,5.590315003689811,343.1190371957729,623.3192829190464,0.9663905197239394,0.785288084648519,68.73145706620979,11.464548426471648
1,8.0,logn30,0.8,1.2559764186965716,1.4478391559943908,0.28581048553871513,0.0,0.6712935564144304,0.25928507875069423,0.34523247260756096,0.7510448735957511,2.1689768791267823,2.8965988988432687,0.431367099071451,0.30931554388499094,15.162557155872515,5.48177848750602
1,8.0,logn30,0.9,1.4257111760146366,1.715311524604959,0.41971419790076425,1.9043783490213063e-16,0.68999416755207,0.1607052160917483,0.18593932680128503,0.8642884690203022,3.755360403458387,5.378098421689505,0.5929850225896818,0.41701551837337403,22.371730743764044,7.102715592029202
1,8.0,logn30,0.95,1.611858125379763,2.008920266639763,0.5384112715076794,-1.1151747673297868e-16,0.7374699644532544,0.10235217822568793,0.09674972202896173,1.057906690368052,6.8662490352787575,10.335947008722705,0.713629431012381,0.5022201644305884,29.560063664208343,8.397978584951183
