part,office,alpha,patience,rule,start,p,phi,start_hours,fixed_point,fixed_hours,oracle_hours,fitted_mean,path_hours,paid_hours_per_day,failures_per_day,oracle_failures_per_day,first_refit_30d_mean,first_refit_30d_sd
starts,R8_S16_A0.6,0.1,logn30,B,SIPP-A (fail),0.0,,73,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,30.0,"[73, 77, 77]",,,,,
size,R8,0.1,exp30,A,Erlang-C SIPP,0.0,,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",73.0,18.6,18.6,73.0,0.0
size,R8,0.1,exp30,A,Erlang-C SIPP,0.1,0.9,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",72.2,20.0,18.6,,
size,R8,0.1,exp30,A,Erlang-C SIPP,0.2,0.9,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",71.4,21.4,18.6,,
size,R8,0.1,exp30,A,Erlang-C SIPP,0.1,0.8,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",71.5,22.4,18.6,,
size,R8,0.1,exp30,A,Erlang-C SIPP,0.2,0.8,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",70.0,26.3,18.6,,
size,R8,0.1,exp30,B,Erlang-C SIPP,0.0,,81,"[10, 13, 8, 6, 6, 10, 12, 8]",73,73,30.0,"[81, 73, 73]",73.0,18.6,18.6,73.0,0.0
size,R8,0.1,logn30,A,Erlang-C SIPP,0.0,,81,"[11, 15, 8, 6, 6, 11, 13, 8]",78,77,214.7,"[81, 78, 78]",78.0,10.5,12.6,78.64,1.0
size,R8,0.1,logn30,A,Erlang-C SIPP,0.1,0.9,81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,188.1,"[81, 78, 77, 77]",76.2,14.8,12.6,,
size,R8,0.1,logn30,A,Erlang-C SIPP,0.2,0.9,81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,176.3,"[81, 78, 77, 77]",75.4,16.9,12.6,,
size,R8,0.1,logn30,A,Erlang-C SIPP,0.1,0.8,81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,152.8,"[81, 77, 77]",75.4,19.8,12.6,,
size,R8,0.1,logn30,A,Erlang-C SIPP,0.2,0.8,81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,129.7,"[81, 77, 77]",73.8,27.0,12.6,,
size,R8,0.1,logn30,B,Erlang-C SIPP,0.0,,81,"[11, 14, 8, 6, 6, 11, 13, 8]",77,77,30.0,"[81, 77, 77]",77.0,12.6,12.6,76.32,0.95
size,R8,0.2,exp30,A,Erlang-C SIPP,0.0,,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",65.0,32.6,32.6,65.0,0.0
size,R8,0.2,exp30,A,Erlang-C SIPP,0.1,0.9,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",64.2,35.0,32.6,,
size,R8,0.2,exp30,A,Erlang-C SIPP,0.2,0.9,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",63.4,37.4,32.6,,
size,R8,0.2,exp30,A,Erlang-C SIPP,0.1,0.8,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",63.8,37.0,32.6,,
size,R8,0.2,exp30,A,Erlang-C SIPP,0.2,0.8,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",62.6,41.3,32.6,,
size,R8,0.2,exp30,B,Erlang-C SIPP,0.0,,78,"[9, 12, 7, 5, 5, 9, 11, 7]",65,65,30.0,"[78, 65, 65]",65.0,32.6,32.6,65.0,0.0
size,R8,0.2,logn30,A,Erlang-C SIPP,0.0,,78,"[10, 14, 8, 5, 5, 10, 12, 8]",72,69,156.4,"[78, 73, 72, 72]",72.0,23.7,34.0,72.99,0.1
