c,S,rho,patience,fail_cutoff,live_bins_below,live_bins_above,min_psi_below,max_psi_above,sign_ok,taylor_exact,taylor_first_order,taylor_rel_err,implied_threshold
4,8.0,0.8,logn30cv15,0.068447,30,31,0.14535,-0.21759,True,0.007039232088178915,0.007141463708175953,0.014523121089971822,0.3831
4,8.0,0.95,exp30,0.120591,30,34,0.10715,-0.29123,True,0.003646332576309641,0.003802147803692974,0.04273203941836522,0.2737
4,8.0,0.95,logn30,0.076149,30,39,0.12038,-0.26689,True,0.01701097911556848,0.016717928910484577,0.017227121560316548,0.2419
4,8.0,0.95,logn30cv15,0.116567,30,34,0.09252,-0.23242,True,0.004247794251314052,0.004238966454040206,0.0020782073592936715,0.2716
4,8.0,1.2,exp30,0.220018,30,39,0.0424,-0.30038,True,0.0029248357974822614,0.0029381547573884108,0.004553746202646491,0.1295
4,8.0,1.2,logn30,0.1923,30,43,0.03109,-0.25532,True,0.003488968378797752,0.003385533970314016,0.02964612952994957,0.0803
4,8.0,1.2,logn30cv15,0.218296,30,38,0.0362,-0.2425,True,0.001668154936953825,0.0016714862309717784,0.001996993171411574,0.1262
4,16.0,0.8,exp30,0.107323,30,69,0.17968,-0.13848,True,0.00736569481659477,0.007421289302613789,0.007547758548693321,0.3777
4,16.0,0.8,logn30,0.075061,30,72,0.2429,-0.06568,True,0.003548221892219705,0.0035555749441612767,0.0020723202113415847,0.3655
4,16.0,0.8,logn30cv15,0.105657,30,68,0.15869,-0.11537,True,0.002552219498539232,0.002582174816006205,0.011736967562593166,0.3853
4,16.0,0.95,exp30,0.160179,30,73,0.12775,-0.14474,True,0.009316820217521116,0.009528967348563466,0.022770336454854868,0.2868
4,16.0,0.95,logn30,0.126528,30,77,0.16024,-0.06099,True,0.00549153368243438,0.005608339264991642,0.021270120391118613,0.2641
4,16.0,0.95,logn30cv15,0.158813,30,72,0.11256,-0.12177,True,0.005976274098803969,0.005984066886744008,0.0013039542382433055,0.2922
4,16.0,1.2,exp30,0.255387,30,77,0.06788,-0.15168,True,0.008903320264971204,0.0089780357056957,0.008391862642350761,0.1694
4,16.0,1.2,logn30,0.229113,30,82,0.07153,-0.05632,True,0.004903390718174916,0.005023610386340589,0.024517660344721654,0.1363
4,16.0,1.2,logn30cv15,0.254722,30,77,0.05968,-0.12717,True,0.006333846582434743,0.0062838148202502015,0.007899111785134144,0.1721
8,8.0,0.8,exp30,0.035575,30,11,0.15443,-0.39688,True,0.003992467314632209,0.003999080121110794,0.0016563207554259147,0.3846
8,8.0,0.8,logn30,0.005845,30,15,0.2124,-0.52727,True,0.014780143568707271,0.016031507211297646,0.08466518858719208,0.4104
8,8.0,0.8,logn30cv15,0.029386,30,10,0.13303,-0.3427,True,0.013066248496445554,0.01384136318813458,0.05932190038325709,0.3796
8,8.0,0.95,exp30,0.077396,30,14,0.08504,-0.42939,True,0.002254873946049063,0.002326734563931292,0.03186901778174401,0.2516
8,8.0,0.95,logn30,0.03468,30,19,0.08847,-0.54404,True,0.007522125930344958,0.007480052989477619,0.005593224742172072,0.2275
8,8.0,0.95,logn30cv15,0.071042,30,14,0.07108,-0.35883,True,0.006827149726910786,0.0067978207459975844,0.004295933454864005,0.2399
8,8.0,1.2,exp30,0.188968,30,18,0.019,-0.4469,True,0.007213073978478701,0.007320268543348041,0.01486114868489781,0.075
8,8.0,1.2,logn30,0.171414,30,22,0.0064,-0.54047,True,0.002811327473821401,0.0025001677057344567,0.11068072680412039,0.0248
8,8.0,1.2,logn30cv15,0.186916,30,18,0.01511,-0.36668,True,0.0077287658539642035,0.007109295381740233,0.08015127950942316,0.0666
8,16.0,0.8,exp30,0.052596,30,30,0.15607,-0.28231,True,0.008204953444279739,0.008360195904346116,0.018920577809567934,0.3614
8,16.0,0.8,logn30,0.023946,30,34,0.2124,-0.28305,True,0.003230655528416393,0.0032853597190479426,0.016932845408734933,0.365
8,16.0,0.8,logn30cv15,0.049374,30,30,0.13664,-0.2261,True,0.012810283880614337,0.013401135957504102,0.04612326177906914,0.3638
8,16.0,0.95,exp30,0.101831,30,34,0.09554,-0.29744,True,0.0059734063501128976,0.006026077011161779,0.008817525204506852,0.2475
8,16.0,0.95,logn30,0.066976,30,38,0.11179,-0.27932,True,0.01037752068436959,0.010819122145507136,0.042553657522714214,0.2268
8,16.0,0.95,logn30cv15,0.098791,30,33,0.08279,-0.24132,True,0.008875301158687732,0.008956997006546067,0.009204853604135563,0.2464
8,16.0,1.2,exp30,0.209772,30,38,0.03426,-0.30946,True,0.0038377229064230356,0.003908992700226974,0.01857085452538973,0.106
8,16.0,1.2,logn30,0.187891,30,43,0.02574,-0.25672,True,0.003571548827366322,0.0036267665022658023,0.015460428393526413,0.067
8,16.0,1.2,logn30cv15,0.208444,30,38,0.02929,-0.24556,True,0.0020100262971674,0.002035326154687878,0.0125868291156845,0.1034
16,8.0,0.8,exp30,0.014873,30,0,0.15546,,True,0.007051123999104125,0.007399014956053208,0.04933836888888686,0.3907
16,8.0,0.8,logn30,0.000371,30,5,0.23392,-0.67971,True,0.0027714566043643973,0.002734161588839295,0.013456828249221444,0.4699
16,8.0,0.8,logn30cv15,0.009662,29,0,0.16482,,True,0.009352797523729084,0.009722350714031623,0.03951258319929859,0.3836
16,8.0,0.95,exp30,0.049123,30,4,0.0733,-0.52965,True,0.0026104573475825843,0.002731786555667556,0.04647814230610926,0.2344
16,8.0,0.95,logn30,0.012605,30,9,0.07593,-0.73546,True,0.018562087283094053,0.018723570487890657,0.008699625334898578,0.2427
16,8.0,0.95,logn30cv15,0.041243,30,3,0.05883,-0.47388,True,0.009636181868195592,0.010371103236415184,0.07626686360551307,0.2138
16,8.0,1.2,exp30,0.173671,30,8,0.00673,-0.54618,True,0.005913511101358515,0.0048484165855439175,0.18011203455252037,0.033
16,8.0,1.2,logn30,0.166903,30,12,0.00038,-0.7341,True,0.0027352297660134806,0.0029931071834768913,0.09427998359321006,0.0023
16,8.0,1.2,logn30cv15,0.172107,30,8,0.00452,-0.46477,True,0.0028984153677455993,0.0024944937867146123,0.13935945328124555,0.024
16,16.0,0.8,exp30,0.022625,30,10,0.14742,-0.40903,True,0.0013251880625737567,0.0013174414432606143,0.005845675441791236,0.3705
16,16.0,0.8,logn30,0.003864,30,14,0.21074,-0.54267,True,0.005630866845341864,0.0057303997471845735,0.017676301815776,0.408
16,16.0,0.8,logn30cv15,0.018838,30,9,0.128,-0.35387,True,0.003759560014953367,0.0037895634023431407,0.007980558169157426,0.3681
16,16.0,0.95,exp30,0.064358,30,14,0.07651,-0.43546,True,0.005195180865476989,0.005488103890882365,0.056383604919687615,0.2297
16,16.0,0.95,logn30,0.030528,30,19,0.08425,-0.54638,True,0.0038943483146989255,0.004190422564204971,0.07602664825550798,0.2182
