office,patience,plan_type,regime,fail,share_of_oracle_gain,told_per_day,d_H,d_H_lo,d_H_hi,d_Tbest,d_Tbest_lo,d_Tbest_hi,d_B1,d_B1_lo,d_B1_hi
R16_S16_A0.6,logn30,lean,O-M15,0.02763,1.0,13.262,-21.07,-22.515,-19.625,-6.888,-7.349,-6.427,-7.151,-7.645,-6.657
R16_S16_A0.6,logn30,lean,Tbest,0.04198,0.673,13.653,-14.182,-15.433,-12.931,0.0,0.0,0.0,-0.263,-0.573,0.047
R16_S16_A0.6,logn30,lean,B1,0.04252,0.661,11.942,-13.919,-15.147,-12.691,0.263,-0.047,0.573,0.0,0.0,0.0
R16_S16_A0.6,logn30,lean,FW,0.04412,0.624,18.021,-13.154,-14.525,-11.783,1.028,0.632,1.424,0.765,0.335,1.195
R16_S16_A0.6,logn30,safe,H,0.04394,0.0,0.0,0.0,0.0,0.0,7.107,6.149,8.065,7.166,6.158,8.174
R16_S16_A0.6,logn30,safe,O-M15,0.01823,1.0,8.752,-12.342,-13.508,-11.176,-5.235,-5.655,-4.815,-5.176,-5.599,-4.753
R16_S16_A0.6,logn30,safe,Tbest,0.02914,0.576,8.366,-7.107,-8.065,-6.149,0.0,0.0,0.0,0.059,-0.243,0.361
R16_S16_A0.6,logn30,safe,B1,0.02901,0.581,8.375,-7.166,-8.174,-6.158,-0.059,-0.361,0.243,0.0,0.0,0.0
R16_S16_A0.6,logn30,safe,FW,0.03547,0.329,14.872,-4.065,-5.189,-2.941,3.042,2.645,3.439,3.101,2.72,3.482
R16_S16_A0.6,logn30cv15,lean,H,0.13259,0.0,0.0,0.0,0.0,0.0,2.501,2.079,2.923,2.6,2.126,3.074
R16_S16_A0.6,logn30cv15,lean,O-M15,0.12009,1.0,57.647,-6.0,-6.524,-5.476,-3.499,-3.829,-3.169,-3.4,-3.74,-3.06
R16_S16_A0.6,logn30cv15,lean,Tbest,0.12738,0.417,8.948,-2.501,-2.923,-2.079,0.0,0.0,0.0,0.099,-0.179,0.377
R16_S16_A0.6,logn30cv15,lean,B1,0.12717,0.433,11.016,-2.6,-3.074,-2.126,-0.099,-0.377,0.179,0.0,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,FW,0.12757,0.402,19.385,-2.409,-2.982,-1.836,0.092,-0.264,0.448,0.191,-0.162,0.544
R16_S16_A0.6,logn30cv15,safe,H,0.07512,0.0,0.0,0.0,0.0,0.0,0.119,0.046,0.192,-0.046,-0.197,0.105
R16_S16_A0.6,logn30cv15,safe,O-M15,0.07287,1.0,34.98,-1.078,-1.275,-0.881,-0.959,-1.138,-0.78,-1.124,-1.3,-0.948
R16_S16_A0.6,logn30cv15,safe,Tbest,0.07487,0.11,0.493,-0.119,-0.192,-0.046,0.0,0.0,0.0,-0.165,-0.298,-0.032
R16_S16_A0.6,logn30cv15,safe,B1,0.07521,-0.043,2.395,0.046,-0.105,0.197,0.165,0.032,0.298,0.0,0.0,0.0
R16_S16_A0.6,logn30cv15,safe,FW,0.0763,-0.53,6.651,0.571,0.341,0.801,0.69,0.476,0.904,0.525,0.342,0.708
