office,patience,plan_type,staff_hours,regime,fail,failures_per_day,arrivals_per_day,balked_per_day,wasted_min_per_day,lost_min_per_arrival,d_C1,d_C1_lo,d_C1_hi,d_H,d_H_lo,d_H_hi,d_O-M15,d_O-M15_lo,d_O-M15_hi,dfail_sim,dfail_pred
R16_S16_A0.6,logn30,safe,135,C1-M17.5,0.03763,18.064,480.04,6.338,29.51,2.972,,,,-3.03,-3.65,-2.41,9.312,8.536,10.088,-0.00631,
R16_S16_A0.6,logn30,safe,135,C0-M20,0.03927,18.85,480.04,2.141,63.19,3.224,-0.366,-0.706,-0.026,-2.244,-2.684,-1.804,10.098,9.188,11.008,-0.00467,
R16_S16_A0.6,logn30,safe,135,C1-M20,0.04003,19.216,480.04,5.594,32.52,3.079,,,,-1.878,-2.385,-1.371,10.464,9.545,11.383,-0.00391,
R16_S16_A0.6,logn30,safe,135,C0-M30,0.04377,21.013,480.04,0.075,81.25,3.436,0.99,0.571,1.409,-0.081,-0.135,-0.027,12.261,11.104,13.418,-0.00017,
R16_S16_A0.6,logn30,safe,135,C1-M30,0.04171,20.023,480.04,5.189,34.2,3.143,,,,-1.071,-1.501,-0.641,11.271,10.265,12.277,-0.00223,
R16_S16_A0.6,logn30cv15,lean,113,H,0.13259,63.647,480.04,0.0,305.49,3.686,,,,0.0,0.0,0.0,6.0,5.476,6.524,0.0,0.0
R16_S16_A0.6,logn30cv15,lean,113,O*1.5,0.1337,64.182,480.04,62.905,0.0,2.075,,,,0.535,-0.054,1.124,6.535,6.155,6.915,0.00111,-0.0003
R16_S16_A0.6,logn30cv15,lean,113,O*2,0.14094,67.657,480.04,67.262,0.0,1.565,,,,4.01,3.353,4.667,10.01,9.629,10.391,0.00835,0.00571
R16_S16_A0.6,logn30cv15,lean,113,O*3,0.15238,73.146,480.04,73.073,0.0,1.042,,,,9.499,8.772,10.226,15.499,15.072,15.926,0.01979,0.01591
R16_S16_A0.6,logn30cv15,lean,113,O-M5,0.14231,68.316,480.04,68.316,0.0,1.19,,,,4.669,3.911,5.427,10.669,10.18,11.158,0.00973,0.00706
R16_S16_A0.6,logn30cv15,lean,113,O-M10,0.12464,59.831,480.04,59.831,0.0,2.367,,,,-3.816,-4.422,-3.21,2.184,1.867,2.501,-0.00795,-0.00848
R16_S16_A0.6,logn30cv15,lean,113,O-M12.5,0.12166,58.401,480.04,58.401,0.0,2.678,,,,-5.246,-5.798,-4.694,0.754,0.542,0.966,-0.01093,-0.01076
R16_S16_A0.6,logn30cv15,lean,113,O-M15,0.12009,57.647,480.04,57.647,0.0,2.866,,,,-6.0,-6.524,-5.476,0.0,0.0,0.0,-0.0125,-0.01174
R16_S16_A0.6,logn30cv15,lean,113,O-M17.5,0.1276,61.252,480.04,57.326,0.0,2.959,,,,-2.395,-2.713,-2.077,3.605,3.292,3.918,-0.00499,-0.00379
R16_S16_A0.6,logn30cv15,lean,113,O-M20,0.13068,62.73,480.04,57.141,0.0,3.008,,,,-0.917,-1.115,-0.719,5.083,4.65,5.516,-0.00191,-0.0012
R16_S16_A0.6,logn30cv15,lean,113,O-M30,0.13254,63.622,480.04,57.026,0.0,3.049,,,,-0.025,-0.055,0.005,5.975,5.453,6.497,-5e-05,-2e-05
R16_S16_A0.6,logn30cv15,lean,113,C,0.13767,66.086,480.04,52.022,72.85,2.797,,,,2.439,1.99,2.888,8.439,7.889,8.989,0.00508,
R16_S16_A0.6,logn30cv15,lean,113,C0-M5,0.15174,72.84,480.04,60.664,38.18,1.144,-0.399,-0.696,-0.102,9.193,8.433,9.953,15.193,14.704,15.682,0.01915,
R16_S16_A0.6,logn30cv15,lean,113,C1-M5,0.15257,73.239,480.04,68.627,21.79,1.115,,,,9.592,8.835,10.349,15.592,15.109,16.075,0.01998,
R16_S16_A0.6,logn30cv15,lean,113,C0-M10,0.13046,62.624,480.04,26.278,153.03,2.542,-1.983,-2.34,-1.626,-1.023,-1.62,-0.426,4.977,4.623,5.331,-0.00213,
R16_S16_A0.6,logn30cv15,lean,113,C1-M10,0.13459,64.607,480.04,55.468,57.44,2.287,,,,0.96,0.36,1.56,6.96,6.576,7.344,0.002,
R16_S16_A0.6,logn30cv15,lean,113,C0-M12.5,0.12793,61.409,480.04,14.486,211.16,3.054,-2.984,-3.359,-2.609,-2.238,-2.744,-1.732,3.762,3.431,4.093,-0.00466,
R16_S16_A0.6,logn30cv15,lean,113,C1-M12.5,0.13414,64.393,480.04,53.22,67.27,2.601,,,,0.746,0.225,1.267,6.746,6.348,7.144,0.00155,
R16_S16_A0.6,logn30cv15,lean,113,C0-M15,0.12812,61.502,480.04,8.296,246.92,3.317,-3.559,-3.956,-3.162,-2.145,-2.546,-1.744,3.855,3.512,4.198,-0.00447,
R16_S16_A0.6,logn30cv15,lean,113,C1-M15,0.13553,65.061,480.04,52.527,70.58,2.716,,,,1.414,0.929,1.899,7.414,6.961,7.867,0.00295,
R16_S16_A0.6,logn30cv15,lean,113,C0-M17.5,0.12943,62.133,480.04,4.532,270.99,3.48,-3.49,-3.911,-3.069,-1.514,-1.81,-1.218,4.486,4.094,4.878,-0.00315,
R16_S16_A0.6,logn30cv15,lean,113,C1-M17.5,0.1367,65.623,480.04,52.213,71.99,2.766,,,,1.976,1.516,2.436,7.976,7.469,8.483,0.00412,
R16_S16_A0.6,logn30cv15,lean,113,C0-M20,0.13008,62.444,480.04,2.944,282.35,3.551,-3.395,-3.823,-2.967,-1.203,-1.46,-0.946,4.797,4.381,5.213,-0.00251,
R16_S16_A0.6,logn30cv15,lean,113,C1-M20,0.13715,65.839,480.04,52.123,72.32,2.782,,,,2.192,1.74,2.644,8.192,7.667,8.717,0.00457,
R16_S16_A0.6,logn30cv15,lean,113,C0-M30,0.13241,63.561,480.04,0.15,304.15,3.679,-2.525,-2.972,-2.078,-0.086,-0.139,-0.033,5.914,5.403,6.425,-0.00018,
R16_S16_A0.6,logn30cv15,lean,113,C1-M30,0.13767,66.086,480.04,52.022,72.85,2.797,,,,2.439,1.99,2.888,8.439,7.889,8.989,0.00508,
R16_S16_A0.6,logn30cv15,safe,125,H,0.07512,36.058,480.04,0.0,157.72,2.442,,,,0.0,0.0,0.0,1.078,0.881,1.275,0.0,0.0
R16_S16_A0.6,logn30cv15,safe,125,O*1.5,0.08566,41.12,480.04,40.925,0.0,1.482,,,,5.062,4.774,5.35,6.14,5.897,6.383,0.01055,0.00113
R16_S16_A0.6,logn30cv15,safe,125,O*2,0.09412,45.18,480.04,45.136,0.0,1.14,,,,9.122,8.798,9.446,10.2,9.921,10.479,0.019,0.00675
R16_S16_A0.6,logn30cv15,safe,125,O*3,0.10614,50.952,480.04,50.949,0.0,0.773,,,,14.894,14.515,15.273,15.972,15.641,16.303,0.03103,0.01597
R16_S16_A0.6,logn30cv15,safe,125,O-M5,0.09423,45.232,480.04,45.232,0.0,0.962,,,,9.174,8.751,9.597,10.252,9.869,10.635,0.01911,0.00613
R16_S16_A0.6,logn30cv15,safe,125,O-M10,0.07629,36.621,480.04,36.621,0.0,1.813,,,,0.563,0.314,0.812,1.641,1.455,1.827,0.00117,-0.00664
R16_S16_A0.6,logn30cv15,safe,125,O-M12.5,0.07388,35.466,480.04,35.466,0.0,1.992,,,,-0.592,-0.798,-0.386,0.486,0.376,0.596,-0.00123,-0.00814
R16_S16_A0.6,logn30cv15,safe,125,O-M15,0.07287,34.98,480.04,34.98,0.0,2.074,,,,-1.078,-1.275,-0.881,0.0,0.0,0.0,-0.00225,-0.0087
R16_S16_A0.6,logn30cv15,safe,125,O-M17.5,0.07461,35.816,480.04,34.798,0.0,2.103,,,,-0.242,-0.317,-0.167,0.836,0.685,0.987,-0.0005,-0.00285
R16_S16_A0.6,logn30cv15,safe,125,O-M20,0.075,36.005,480.04,34.756,0.0,2.11,,,,-0.053,-0.085,-0.021,1.025,0.834,1.216,-0.00011,-0.00088
R16_S16_A0.6,logn30cv15,safe,125,O-M30,0.07512,36.058,480.04,34.753,0.0,2.113,,,,0.0,0.0,0.0,1.078,0.881,1.275,0.0,-0.0
R16_S16_A0.6,logn30cv15,safe,125,C,0.08225,39.482,480.04,32.549,39.5,1.909,,,,3.424,3.193,3.655,4.502,4.241,4.763,0.00713,
R16_S16_A0.6,logn30cv15,safe,125,C0-M5,0.10177,48.852,480.04,38.916,30.28,0.957,-0.503,-0.721,-0.285,12.794,12.358,13.23,13.872,13.477,14.267,0.02665,
R16_S16_A0.6,logn30cv15,safe,125,C1-M5,0.10281,49.355,480.04,45.664,16.91,0.93,,,,13.297,12.852,13.742,14.375,13.974,14.776,0.0277,
R16_S16_A0.6,logn30cv15,safe,125,C0-M10,0.07967,38.243,480.04,12.458,102.64,1.93,-2.051,-2.279,-1.823,2.185,1.893,2.477,3.263,3.009,3.517,0.00455,
R16_S16_A0.6,logn30cv15,safe,125,C1-M10,0.08394,40.294,480.04,34.301,36.21,1.71,,,,4.236,3.954,4.518,5.314,5.064,5.564,0.00882,
R16_S16_A0.6,logn30cv15,safe,125,C0-M12.5,0.07613,36.546,480.04,5.814,128.81,2.195,-2.983,-3.206,-2.76,0.488,0.271,0.705,1.566,1.369,1.763,0.00102,
R16_S16_A0.6,logn30cv15,safe,125,C1-M12.5,0.08235,39.529,480.04,32.998,38.83,1.853,,,,3.471,3.215,3.727,4.549,4.309,4.789,0.00723,
R16_S16_A0.6,logn30cv15,safe,125,C0-M15,0.07503,36.017,480.04,2.384,144.83,2.339,-3.439,-3.663,-3.215,-0.041,-0.196,0.114,1.037,0.856,1.218,-9e-05,
R16_S16_A0.6,logn30cv15,safe,125,C1-M15,0.08219,39.456,480.04,32.644,39.56,1.897,,,,3.398,3.16,3.636,4.476,4.229,4.723,0.00708,
R16_S16_A0.6,logn30cv15,safe,125,C0-M17.5,0.07489,35.951,480.04,0.9,152.72,2.399,-3.53,-3.758,-3.302,-0.107,-0.206,-0.008,0.971,0.795,1.147,-0.00022,
R16_S16_A0.6,logn30cv15,safe,125,C1-M17.5,0.08225,39.481,480.04,32.564,39.48,1.906,,,,3.423,3.192,3.654,4.501,4.243,4.759,0.00713,
R16_S16_A0.6,logn30cv15,safe,125,C0-M20,0.07497,35.988,480.04,0.344,155.65,2.425,-3.484,-3.711,-3.257,-0.07,-0.137,-0.003,1.008,0.824,1.192,-0.00015,
R16_S16_A0.6,logn30cv15,safe,125,C1-M20,0.08223,39.472,480.04,32.548,39.5,1.908,,,,3.414,3.183,3.645,4.492,4.233,4.751,0.00711,
R16_S16_A0.6,logn30cv15,safe,125,C0-M30,0.07512,36.058,480.04,0.0,157.72,2.442,-3.424,-3.655,-3.193,0.0,0.0,0.0,1.078,0.881,1.275,0.0,
R16_S16_A0.6,logn30cv15,safe,125,C1-M30,0.08225,39.482,480.04,32.549,39.5,1.909,,,,3.424,3.193,3.655,4.502,4.241,4.763,0.00713,
