service_time,threshold,patience,windows,delta_star,scaled_delta,beta_star,alpha_star,alpha_star_sqrt_c,k1
8.0,5.0,30.0,10,3.74499,2.34062,1.18427,0.012147,0.03841,0.27171
8.0,5.0,30.0,20,4.74463,2.9654,1.06093,0.0093761,0.04193,0.27171
8.0,5.0,30.0,50,5.70869,3.56793,0.80733,0.0086338,0.06105,0.27171
8.0,5.0,30.0,100,6.20214,3.87634,0.62021,0.008708,0.08708,0.27171
8.0,5.0,30.0,200,6.65614,4.16008,0.47066,0.0082505,0.11668,0.27171
8.0,5.0,30.0,500,7.28623,4.55389,0.32585,0.0068499,0.15317,0.27171
8.0,5.0,30.0,1000,7.78388,4.86492,0.24615,0.005599,0.17706,0.27171
8.0,5.0,30.0,2000,8.29522,5.18451,0.18549,0.0044116,0.19729,0.27171
8.0,5.0,30.0,5000,8.98692,5.61683,0.12709,0.0030914,0.21859,0.27171
8.0,5.0,30.0,10000,9.51901,5.94938,0.09519,0.0023103,0.23103,0.27171
8.0,5.0,120.0,10,4.0243,2.51519,1.2726,0.0080137,0.02534,0.16374
8.0,5.0,120.0,20,5.27895,3.29934,1.18041,0.0051339,0.02296,0.16374
8.0,5.0,120.0,50,6.75284,4.22052,0.955,0.003427,0.02423,0.16374
8.0,5.0,120.0,100,7.59185,4.74491,0.75919,0.0029061,0.02906,0.16374
8.0,5.0,120.0,200,8.14615,5.09134,0.57602,0.0027697,0.03917,0.16374
8.0,5.0,120.0,500,8.62685,5.39178,0.3858,0.0027218,0.06086,0.16374
8.0,5.0,120.0,1000,8.99543,5.62214,0.28446,0.0024914,0.07878,0.16374
8.0,5.0,120.0,2000,9.4065,5.87906,0.21034,0.0021306,0.09528,0.16374
8.0,5.0,120.0,5000,10.00166,6.25103,0.14144,0.001609,0.11377,0.16374
8.0,5.0,120.0,10000,10.48136,6.55085,0.10481,0.0012504,0.12504,0.16374
8.0,15.0,30.0,10,1.39489,2.61542,0.4411,0.0407772,0.12895,0.27171
8.0,15.0,30.0,20,1.56778,2.93959,0.35057,0.0335493,0.15004,0.27171
8.0,15.0,30.0,50,1.79355,3.36291,0.25365,0.0250304,0.17699,0.27171
8.0,15.0,30.0,100,1.96662,3.68741,0.19666,0.0194922,0.19492,0.27171
8.0,15.0,30.0,200,2.14177,4.01581,0.15145,0.0148783,0.21041,0.27171
8.0,15.0,30.0,500,2.37617,4.45532,0.10627,0.0101567,0.22711,0.27171
8.0,15.0,30.0,1000,2.55532,4.79123,0.08081,0.0074976,0.2371,0.27171
8.0,15.0,30.0,2000,2.73574,5.12951,0.06117,0.0054804,0.24509,0.27171
8.0,15.0,30.0,5000,2.97576,5.57955,0.04208,0.0035796,0.25312,0.27171
8.0,15.0,30.0,10000,3.15821,5.92165,0.03158,0.0025764,0.25764,0.27171
8.0,15.0,120.0,10,1.78883,3.35406,0.56568,0.0160009,0.0506,0.16374
8.0,15.0,120.0,20,2.01636,3.78067,0.45087,0.0124928,0.05587,0.16374
8.0,15.0,120.0,50,2.21316,4.14967,0.31299,0.0105036,0.07427,0.16374
8.0,15.0,120.0,100,2.35063,4.40743,0.23506,0.0090127,0.09013,0.16374
8.0,15.0,120.0,200,2.49791,4.68359,0.17663,0.007382,0.1044,0.16374
8.0,15.0,120.0,500,2.70539,5.07261,0.12099,0.0053753,0.12019,0.16374
8.0,15.0,120.0,1000,2.86979,5.38086,0.09075,0.004105,0.12981,0.16374
8.0,15.0,120.0,2000,3.03906,5.69823,0.06796,0.0030766,0.13759,0.16374
8.0,15.0,120.0,5000,3.26844,6.12832,0.04622,0.002057,0.14545,0.16374
8.0,15.0,120.0,10000,3.44513,6.45961,0.03445,0.001499,0.1499,0.16374
8.0,30.0,30.0,10,0.67538,2.53266,0.21357,0.061059,0.19309,0.27171
8.0,30.0,30.0,20,0.76443,2.8666,0.17093,0.0460488,0.20594,0.27171
8.0,30.0,30.0,50,0.8824,3.30898,0.12479,0.0313022,0.22134,0.27171
8.0,30.0,30.0,100,0.97208,3.6453,0.09721,0.0231344,0.23134,0.27171
8.0,30.0,30.0,200,1.0622,3.98327,0.07511,0.0169572,0.23981,0.27171
8.0,30.0,30.0,500,1.18199,4.43246,0.05286,0.0111247,0.24876,0.27171
8.0,30.0,30.0,1000,1.27303,4.77385,0.04026,0.0080325,0.25401,0.27171
8.0,30.0,30.0,2000,1.36436,5.11637,0.03051,0.0057729,0.25817,0.27171
8.0,30.0,30.0,5000,1.48547,5.57052,0.02101,0.0037095,0.2623,0.27171
8.0,30.0,30.0,10000,1.5773,5.91488,0.01577,0.0026461,0.26461,0.27171
8.0,30.0,120.0,10,0.87708,3.28903,0.27736,0.0263132,0.08321,0.16374
8.0,30.0,120.0,20,0.95191,3.56965,0.21285,0.0215818,0.09652,0.16374
8.0,30.0,120.0,50,1.05423,3.95335,0.14909,0.0159282,0.11263,0.16374
8.0,30.0,120.0,100,1.13512,4.25671,0.11351,0.0122938,0.12294,0.16374
8.0,30.0,120.0,200,1.21848,4.56931,0.08616,0.0093056,0.1316,0.16374
8.0,30.0,120.0,500,1.33169,4.99382,0.05955,0.0062923,0.1407,0.16374
8.0,30.0,120.0,1000,1.4191,5.32162,0.04488,0.0046177,0.14603,0.16374
8.0,30.0,120.0,2000,1.50768,5.65381,0.03371,0.0033591,0.15023,0.16374
8.0,30.0,120.0,5000,1.62615,6.09808,0.023,0.0021833,0.15438,0.16374
8.0,30.0,120.0,10000,1.71655,6.43707,0.01717,0.001567,0.1567,0.16374
16.0,5.0,30.0,10,,,,,,0.33676
16.0,5.0,30.0,20,7.53596,2.35499,1.68509,0.0032591,0.01458,0.33676
16.0,5.0,30.0,50,10.11578,3.16118,1.43059,0.0035413,0.02504,0.33676
16.0,5.0,30.0,100,11.5233,3.60103,1.15233,0.004392,0.04392,0.33676
16.0,5.0,30.0,200,12.55708,3.92409,0.88792,0.0053021,0.07498,0.33676
16.0,5.0,30.0,500,13.82895,4.32155,0.61845,0.0055957,0.12512,0.33676
16.0,5.0,30.0,1000,14.83079,4.63462,0.46899,0.0051371,0.16245,0.33676
16.0,5.0,30.0,2000,15.86125,4.95664,0.35467,0.004391,0.19637,0.33676
16.0,5.0,30.0,5000,17.25474,5.39211,0.24402,0.0033114,0.23415,0.33676
16.0,5.0,30.0,10000,18.32563,5.72676,0.18326,0.0025712,0.25712,0.33676
16.0,5.0,120.0,10,,,,,,0.21342
16.0,5.0,120.0,20,8.07729,2.52415,1.80614,0.0018188,0.00813,0.21342
16.0,5.0,120.0,50,11.36809,3.55253,1.60769,0.0015243,0.01078,0.21342
16.0,5.0,120.0,100,13.54869,4.23397,1.35487,0.0015157,0.01516,0.21342
16.0,5.0,120.0,200,15.23824,4.76195,1.07751,0.0016171,0.02287,0.21342
16.0,5.0,120.0,500,16.63487,5.1984,0.74393,0.0019022,0.04253,0.21342
16.0,5.0,120.0,1000,17.36504,5.42658,0.54913,0.0020629,0.06523,0.21342
16.0,5.0,120.0,2000,18.13082,5.66588,0.40542,0.0020091,0.08985,0.21342
16.0,5.0,120.0,5000,19.26539,6.02043,0.27245,0.0016991,0.12015,0.21342
16.0,5.0,120.0,10000,20.19525,6.31102,0.20195,0.0013981,0.13981,0.21342
16.0,15.0,30.0,10,2.4433,2.29059,0.77264,0.032117,0.10156,0.33676
16.0,15.0,30.0,20,2.85863,2.67996,0.63921,0.0278507,0.12455,0.33676
16.0,15.0,30.0,50,3.33074,3.12257,0.47104,0.0233362,0.16501,0.33676
16.0,15.0,30.0,100,3.68368,3.45345,0.36837,0.0194444,0.19444,0.33676
16.0,15.0,30.0,200,4.03893,3.7865,0.2856,0.0156283,0.22102,0.33676
16.0,15.0,30.0,500,4.51246,4.23043,0.2018,0.0112187,0.25086,0.33676
16.0,15.0,30.0,1000,4.87336,4.56878,0.15411,0.0085157,0.26929,0.33676
16.0,15.0,30.0,2000,5.2362,4.90894,0.11709,0.0063587,0.28437,0.33676
16.0,15.0,30.0,5000,5.7182,5.36082,0.08087,0.0042398,0.2998,0.33676
16.0,15.0,30.0,10000,6.0842,5.70393,0.06084,0.0030862,0.30862,0.33676
16.0,15.0,120.0,10,2.96842,2.78289,0.9387,0.0140162,0.04432,0.21342
16.0,15.0,120.0,20,3.60648,3.38108,0.80643,0.010293,0.04603,0.21342
16.0,15.0,120.0,50,4.17838,3.91723,0.59091,0.0087575,0.06192,0.21342
16.0,15.0,120.0,100,4.47059,4.19118,0.44706,0.0082934,0.08293,0.21342
16.0,15.0,120.0,200,4.75385,4.45674,0.33615,0.0074512,0.10538,0.21342
16.0,15.0,120.0,500,5.15619,4.83393,0.23059,0.0059025,0.13198,0.21342
16.0,15.0,120.0,1000,5.47802,5.13565,0.17323,0.0047105,0.14896,0.21342
16.0,15.0,120.0,2000,5.81128,5.44808,0.12994,0.0036471,0.1631,0.21342
16.0,15.0,120.0,5000,6.26501,5.87345,0.0886,0.0025141,0.17778,0.21342
16.0,15.0,120.0,10000,6.61568,6.2022,0.06616,0.0018625,0.18625,0.21342
16.0,30.0,30.0,10,1.21809,2.28392,0.38519,0.0617346,0.19522,0.33676
16.0,30.0,30.0,20,1.40158,2.62796,0.3134,0.0482798,0.21591,0.33676
16.0,30.0,30.0,50,1.64202,3.07878,0.23222,0.0342312,0.24205,0.33676
16.0,30.0,30.0,100,1.82361,3.41927,0.18236,0.0259732,0.25973,0.33676
16.0,30.0,30.0,200,2.00545,3.76023,0.14181,0.0194542,0.27512,0.33676
16.0,30.0,30.0,500,2.24648,4.21215,0.10047,0.0130499,0.2918,0.33676
16.0,30.0,30.0,1000,2.42932,4.55498,0.07682,0.0095442,0.30181,0.33676
16.0,30.0,30.0,2000,2.61257,4.89858,0.05842,0.0069284,0.30985,0.33676
16.0,30.0,30.0,5000,2.85533,5.35375,0.04038,0.0044962,0.31793,0.33676
16.0,30.0,30.0,10000,3.03929,5.69866,0.03039,0.0032249,0.32249,0.33676
16.0,30.0,120.0,10,1.60081,3.00151,0.50622,0.025058,0.07924,0.21342
16.0,30.0,120.0,20,1.77818,3.33409,0.39761,0.0211296,0.09449,0.21342
16.0,30.0,120.0,50,1.9814,3.71512,0.28021,0.0169731,0.12002,0.21342
16.0,30.0,120.0,100,2.14026,4.01299,0.21403,0.0137538,0.13754,0.21342
16.0,30.0,120.0,200,2.30453,4.32099,0.16295,0.0108011,0.15275,0.21342
16.0,30.0,120.0,500,2.52839,4.74073,0.11307,0.0075681,0.16923,0.21342
16.0,30.0,120.0,1000,2.70174,5.06576,0.08544,0.005664,0.17911,0.21342
16.0,30.0,120.0,2000,2.87776,5.3958,0.06435,0.0041823,0.18704,0.21342
16.0,30.0,120.0,5000,3.11357,5.83794,0.04403,0.0027577,0.195,0.21342
16.0,30.0,120.0,10000,3.29373,6.17575,0.03294,0.0019949,0.19949,0.21342
32.0,5.0,30.0,10,,,,,,0.40538
32.0,5.0,30.0,20,,,,,,0.40538
32.0,5.0,30.0,50,16.474,2.57406,2.32978,0.000389,0.00275,0.40538
32.0,5.0,30.0,100,20.30539,3.17272,2.03054,0.0007507,0.00751,0.40538
32.0,5.0,30.0,200,23.19291,3.62389,1.63999,0.0014929,0.02111,0.40538
32.0,5.0,30.0,500,26.02608,4.06657,1.16392,0.0027754,0.06206,0.40538
32.0,5.0,30.0,1000,28.08486,4.38826,0.88812,0.0033549,0.10609,0.40538
32.0,5.0,30.0,2000,30.20671,4.7198,0.67544,0.0034338,0.15356,0.40538
32.0,5.0,30.0,5000,33.07253,5.16758,0.46772,0.003018,0.21341,0.40538
32.0,5.0,30.0,10000,35.26641,5.51038,0.35266,0.0025293,0.25293,0.40538
32.0,5.0,120.0,10,,,,,,0.27171
32.0,5.0,120.0,20,,,,,,0.27171
32.0,5.0,120.0,50,17.80404,2.78188,2.51787,0.0001461,0.00103,0.27171
32.0,5.0,120.0,100,22.76659,3.55728,2.27666,0.0002322,0.00232,0.27171
32.0,5.0,120.0,200,27.14818,4.2419,1.91967,0.0003914,0.00554,0.27171
32.0,5.0,120.0,500,31.41767,4.90901,1.40504,0.0007304,0.01633,0.27171
32.0,5.0,120.0,1000,33.42911,5.2233,1.05712,0.0010751,0.034,0.27171
32.0,5.0,120.0,2000,34.96895,5.4639,0.78193,0.0013719,0.06135,0.27171
