shape,amplitude,service_time,threshold,kappa,f_paid,window_share,spill_share,overtime_share,plan,optimal
ramp,0.6,32.0,15.0,1.5,1.04234,0.99468,0.0,0.03177,"[0.8857, 1.4064, 1.3199, 1.1999, 1.0568, 0.8735, 0.6995, 0.5157]",True
double,0.6,4.0,7.5,0.0,0.97024,0.97024,0.01562,0.01978,"[0.9725, 1.6951, 0.8258, 0.4511, 0.5125, 1.0231, 1.456, 0.8258]",True
double,0.6,4.0,7.5,1.0,1.00564,0.97163,0.01423,0.01978,"[0.9725, 1.5932, 0.87, 0.5161, 0.5161, 1.0233, 1.456, 0.8258]",True
double,0.6,4.0,7.5,1.5,1.01173,0.99792,0.00172,0.00748,"[0.9725, 1.6296, 0.8847, 0.5913, 0.48, 1.1197, 1.3571, 0.9485]",True
double,0.6,16.0,30.0,0.0,0.83821,0.83821,0.08737,0.07955,"[0.4654, 1.8323, 0.3912, 0.8385, 0.2366, 0.6997, 1.4162, 0.8258]",True
double,0.6,16.0,30.0,1.0,1.00411,0.90724,0.03326,0.06362,"[0.4654, 1.1811, 1.4634, 0.3742, 0.4877, 0.7499, 1.1781, 1.3581]",True
double,0.6,16.0,30.0,1.5,1.02536,0.97592,0.0,0.03296,"[0.4654, 1.4519, 1.1215, 0.7575, 0.5748, 1.0766, 1.2937, 1.066]",True
double,0.6,32.0,60.0,0.0,0.587,0.587,0.24777,0.16852,"[0.0, 1.7666, 0.0, 0.887, 0.0, 1.0876, -0.0, 0.9548]",True
double,0.6,32.0,60.0,1.0,1.0,0.74943,0.0631,0.18747,"[-0.0, 0.7362, 1.4924, 0.5458, 0.5288, 0.5122, 0.9164, 1.2636]",True
double,0.6,32.0,60.0,1.5,1.03658,0.93218,0.0,0.0696,"[0.0355, 1.1292, 1.0597, 0.9635, 0.8993, 0.9669, 1.2779, 1.1255]",True
