plan_name,plan,window_hours,timing,R,L,h,h_low,h_high,dh,dh_low,dh_high,sim_R,n_roots,significant_rises
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,profile,720.0,667.067,-52.933,-56.386,-49.479,-5.645,-8.1302,-3.1598,34.154,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,0.0,17.973,17.973,17.08,18.865,nan,nan,nan,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,12.0,24.457,12.457,11.4,13.515,-5.515,-6.0203,-5.0097,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,24.0,33.697,9.697,8.556,10.839,-2.76,-3.41,-2.11,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,48.0,54.578,6.578,5.226,7.929,-3.12,-3.9554,-2.2846,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,84.0,88.368,4.368,2.879,5.856,-2.21,-3.0754,-1.3446,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,120.0,123.87,3.87,2.158,5.582,-0.4975,-1.3621,0.3671,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,180.0,181.725,1.725,-0.189,3.639,-2.145,-3.2866,-1.0034,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,240.0,241.32,1.32,-0.706,3.346,-0.405,-1.4305,0.6205,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,360.0,359.748,-0.252,-2.507,2.002,-1.5725,-2.9715,-0.1735,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,480.0,477.905,-2.095,-4.635,0.445,-1.8425,-3.2012,-0.4838,340.731,1,0
phi=0.95,"[8, 12, 9, 6, 5, 9, 11, 9]",69,opening,720.0,715.942,-4.058,-6.884,-1.231,-1.9625,-3.6682,-0.2568,340.731,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,0.0,23.245,23.245,22.205,24.285,nan,nan,nan,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,12.0,28.933,16.933,15.744,18.121,-6.3125,-6.7448,-5.8802,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,24.0,35.568,11.568,10.248,12.887,-5.365,-5.8705,-4.8595,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,48.0,49.883,1.883,0.33,3.435,-9.685,-10.3956,-8.9744,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,84.0,76.162,-7.838,-9.735,-5.94,-9.72,-10.7466,-8.6934,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,120.0,105.44,-14.56,-16.69,-12.43,-6.7225,-7.7743,-5.6707,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,180.0,160.36,-19.64,-21.97,-17.31,-5.08,-6.3856,-3.7744,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,240.0,217.018,-22.982,-25.456,-20.509,-3.3425,-4.6028,-2.0822,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,360.0,333.0,-27.0,-29.744,-24.256,-4.0175,-5.8523,-2.1827,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,480.0,451.002,-28.998,-31.856,-26.139,-1.9975,-3.8524,-0.1426,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,profile,720.0,686.543,-33.457,-36.921,-29.994,-4.46,-6.9256,-1.9944,54.972,1,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,0.0,23.245,23.245,22.205,24.285,nan,nan,nan,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,12.0,30.517,18.517,17.349,19.686,-4.7275,-5.2505,-4.2045,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,24.0,40.288,16.288,15.06,17.515,-2.23,-2.9478,-1.5122,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,48.0,61.785,13.785,12.354,15.216,-2.5025,-3.4011,-1.6039,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,84.0,96.25,12.25,10.695,13.805,-1.535,-2.4754,-0.5946,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,120.0,131.407,11.407,9.646,13.169,-0.8425,-1.763,0.078,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,180.0,189.665,9.665,7.656,11.674,-1.7425,-2.9367,-0.5483,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,240.0,249.545,9.545,7.475,11.615,-0.12,-1.1855,0.9455,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,360.0,368.465,8.465,6.167,10.763,-1.08,-2.5125,0.3525,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,480.0,487.025,7.025,4.471,9.579,-1.44,-2.8507,-0.0293,,0,0
phi=0.90,"[7, 12, 8, 5, 5, 8, 11, 8]",64,opening,720.0,725.18,5.18,2.32,8.04,-1.845,-3.6547,-0.0353,,0,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,0.0,28.672,28.672,27.52,29.825,nan,nan,nan,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,12.0,35.33,23.33,22.031,24.629,-5.3425,-5.7962,-4.8888,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,24.0,42.805,18.805,17.351,20.259,-4.525,-5.0318,-4.0182,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,48.0,58.435,10.435,8.781,12.089,-8.37,-9.1061,-7.6339,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,84.0,86.078,2.078,0.138,4.017,-8.3575,-9.368,-7.347,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,120.0,116.632,-3.368,-5.525,-1.21,-5.445,-6.5186,-4.3714,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,180.0,172.243,-7.757,-10.117,-5.398,-4.39,-5.6923,-3.0877,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,240.0,229.205,-10.795,-13.315,-8.275,-3.0375,-4.2956,-1.7794,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,360.0,345.262,-14.738,-17.465,-12.01,-3.9425,-5.7356,-2.1494,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,480.0,462.82,-17.18,-20.048,-14.312,-2.4425,-4.2959,-0.5891,97.736,1,0
phi=0.85,"[7, 11, 8, 5, 4, 8, 10, 8]",61,profile,720.0,698.695,-21.305,-24.752,-17.858,-4.125,-6.5896,-1.6604,97.736,1,0
