office,patience,alpha,plan,staffing,staff_hours,regime,overall_fail,worst_fail,fail_misses
R16_S16_A0.6,logn30,0.2,display,11-19-14-8-7-13-18-13,103,O-M15,0.14853,0.2066,0
R16_S16_A0.6,logn30,0.2,display,11-19-14-8-7-13-18-13,103,twin,0.24528,0.3264,4
R16_S16_A0.6,logn30cv15,0.1,hidden,14-23-16-10-9-16-21-16,125,H,0.07512,0.0882,0
R16_S16_A0.6,logn30cv15,0.1,hidden,14-23-16-10-9-16-21-16,125,O-M15,0.07287,0.0866,0
R16_S16_A0.6,logn30cv15,0.1,hidden,14-23-16-10-9-16-21-16,125,twin,0.07504,0.0882,0
R16_S16_A0.6,logn30cv15,0.1,display,14-23-16-10-9-15-21-16,124,O-M15,0.07656,0.0893,0
R16_S16_A0.6,logn30cv15,0.1,display,14-23-16-10-9-15-21-16,124,twin,0.07904,0.0924,0
R16_S16_A0.6,logn30cv15,0.2,hidden,12-20-14-9-8-14-19-14,110,H,0.14959,0.1815,0
R16_S16_A0.6,logn30cv15,0.2,hidden,12-20-14-9-8-14-19-14,110,O-M15,0.13709,0.169,0
R16_S16_A0.6,logn30cv15,0.2,hidden,12-20-14-9-8-14-19-14,110,twin,0.14792,0.1804,0
R16_S16_A0.6,logn30cv15,0.2,display,12-20-14-9-8-13-18-13,107,O-M15,0.15352,0.1889,0
R16_S16_A0.6,logn30cv15,0.2,display,12-20-14-9-8-13-18-13,107,twin,0.16776,0.2068,0
