mean_load,plan,staff_hours,start,simulator_calls,worst_late,hours_significantly_over
64.0,"[50, 110, 59, 37, 29, 72, 87, 60]",504,"[51, 115, 62, 38, 30, 73, 85, 55]",598,0.0859,0
128.0,"[99, 222, 114, 71, 57, 144, 171, 110]",988,"[101, 229, 122, 74, 58, 144, 168, 107]",1005,0.0819,0
