c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
2,8.0,exp30,O-M30,-1.9384494009955233e-13,True,H,2.544631172440859e-13,True
2,8.0,logn30,H,2.1538326677728037e-14,True,,0.0,True
2,8.0,logn30,O*1.5,-3.623767952376511e-13,True,H,1.9984014443252818e-13,True
2,8.0,logn30,O*2,-1.674216321134736e-13,True,H|O*1.5,6.104006189389111e-13,True
2,8.0,logn30,O*3,-8.504308368628699e-14,True,H|O*1.5|O*2,-1.822986206434507e-13,True
2,8.0,logn30,O-M5,1.1404877042764383e-10,True,H|O-M10|O-M15|O-M30,-1.719180353632055e-12,True
2,8.0,logn30,O-M10,1.0724754417879012e-13,True,H|O-M15|O-M30,6.683542608243442e-14,True
2,8.0,logn30,O-M15,-3.304023721284466e-13,True,H|O-M30,-9.747758156208874e-14,True
2,8.0,logn30,O-M30,-1.9162449405030202e-13,True,H,-3.419486915845482e-14,True
2,8.0,logn30cv15,H,-4.2366110619695974e-13,True,,0.0,True
2,8.0,logn30cv15,O*1.5,-5.488942633746774e-13,True,H,4.596323321948148e-14,True
2,8.0,logn30cv15,O*2,-4.1611158962950867e-13,True,H|O*1.5,-4.702904732312163e-13,True
2,8.0,logn30cv15,O*3,5.284661597215745e-13,True,H|O*1.5|O*2,1.056932319443149e-13,True
2,8.0,logn30cv15,O-M5,3.1016422763485707e-10,True,H|O-M10|O-M15|O-M30,-4.589439939195472e-12,True
2,8.0,logn30cv15,O-M10,-2.2515322939398175e-13,True,H|O-M15|O-M30,1.1102230246251565e-13,True
2,8.0,logn30cv15,O-M15,-1.5121237595394632e-13,True,H|O-M30,-5.617728504603292e-14,True
2,8.0,logn30cv15,O-M30,-1.0487166690609229e-12,True,H,7.684963776455334e-13,True
2,16.0,exp30,H,-4.729550084903167e-13,True,,0.0,True
2,16.0,exp30,O*1.5,-5.322409180053e-13,True,H,-1.241229341530925e-13,True
2,16.0,exp30,O*2,1.644906433284632e-12,True,H|O*1.5,4.634070904785403e-13,True
2,16.0,exp30,O*3,1.3436115553489003e-09,True,H|O*1.5|O*2,-1.865962939717747e-11,True
2,16.0,exp30,O-M5,3.7005039479343083e-06,True,H|O-M10|O-M15|O-M30,-4.614279460746218e-07,True
2,16.0,exp30,O-M10,2.4111593832643052e-09,True,H|O-M15|O-M30,-4.980482692928945e-11,True
2,16.0,exp30,O-M15,4.908518036472742e-12,True,H|O-M30,-8.095746295566641e-13,True
2,16.0,exp30,O-M30,-1.1812772982011666e-13,True,H,-4.2521541843143495e-13,True
2,16.0,logn30,H,-2.391420395042587e-13,True,,0.0,True
2,16.0,logn30,O*1.5,1.4033219031261979e-13,True,H,2.531308496145357e-14,True
2,16.0,logn30,O*2,1.0254019855437946e-12,True,H|O*1.5,-2.3159252293680765e-13,True
2,16.0,logn30,O*3,2.9266988832432617e-10,True,H|O*1.5|O*2,-4.151345933678385e-12,True
2,16.0,logn30,O-M5,1.689884130073871e-06,True,H|O-M10|O-M15|O-M30,-1.7366381299677158e-07,True
2,16.0,logn30,O-M10,1.2025114237701473e-10,True,H|O-M15|O-M30,-1.876609978523902e-12,True
2,16.0,logn30,O-M15,1.1461942506230116e-12,True,H|O-M30,4.340972026284362e-13,True
2,16.0,logn30,O-M30,-6.041833700010102e-13,True,H,3.745892485085278e-13,True
2,16.0,logn30cv15,H,1.9384494009955233e-13,True,,0.0,True
2,16.0,logn30cv15,O*1.5,8.637535131583718e-13,True,H,-6.532552276894421e-13,True
2,16.0,logn30cv15,O*2,5.260569757581379e-12,True,H|O*1.5,-5.322409180053e-13,True
2,16.0,logn30cv15,O*3,6.977285305076464e-09,True,H|O*1.5|O*2,-1.2717316089094766e-10,True
2,16.0,logn30cv15,O-M5,2.7499814244658083e-06,True,H|O-M10|O-M15|O-M30,-3.186993610126976e-07,True
2,16.0,logn30cv15,O-M10,1.952203620980697e-09,True,H|O-M15|O-M30,-3.889144561952662e-11,True
2,16.0,logn30cv15,O-M15,7.330691609297446e-12,True,H|O-M30,-8.455458555545192e-13,True
2,16.0,logn30cv15,O-M30,4.3076653355456074e-13,True,H,-2.1294077612310502e-13,True
4,8.0,exp30,H,-1.0902390101819037e-12,True,,0.0,True
4,8.0,exp30,O*1.5,-5.633271626948044e-13,True,H,-2.020605904817785e-14,True
4,8.0,exp30,O*2,-2.937650123158164e-13,True,H|O*1.5,2.802202914153895e-13,True
4,8.0,exp30,O*3,-2.615685446016869e-13,True,H|O*1.5|O*2,1.1679546219056647e-13,True
4,8.0,exp30,O-M5,2.398081733190338e-14,True,H|O-M10|O-M15|O-M30,-5.486722187697524e-13,True
4,8.0,exp30,O-M10,-1.1324274851176597e-14,True,H|O-M15|O-M30,1.5654144647214707e-13,True
4,8.0,exp30,O-M15,-2.844391389089651e-13,True,H|O-M30,1.9895196601282805e-13,True
4,8.0,exp30,O-M30,-4.971578704271451e-13,True,H,5.440092820663267e-13,True
4,8.0,logn30,H,-4.1100456371623295e-13,True,,0.0,True
4,8.0,logn30,O*1.5,-1.467714838554457e-13,True,H,2.5091040356528538e-14,True
4,8.0,logn30,O*2,7.771561172376096e-15,True,H|O*1.5,3.6615155352137663e-13,True
4,8.0,logn30,O*3,6.616929226765933e-14,True,H|O*1.5|O*2,8.482103908136196e-14,True
4,8.0,logn30,O-M5,-2.34035013590983e-13,True,H|O-M10|O-M15|O-M30,2.1382895454280515e-13,True
4,8.0,logn30,O-M10,-1.8851586958135158e-13,True,H|O-M15|O-M30,1.949551631241775e-13,True
4,8.0,logn30,O-M15,-4.9649173661237e-13,True,H|O-M30,8.453238109495942e-13,True
4,8.0,logn30,O-M30,-6.614708780716683e-13,True,H,4.0456527017340704e-13,True
4,8.0,logn30cv15,H,-2.680078381445128e-13,True,,0.0,True
4,8.0,logn30cv15,O*1.5,-3.7969627442180354e-13,True,H,2.573496971081113e-13,True
4,8.0,logn30cv15,O*2,-1.5232259897857148e-13,True,H|O*1.5,5.617728504603292e-14,True
4,8.0,logn30cv15,O*3,-1.3278267374516872e-13,True,H|O*1.5|O*2,2.702282841937631e-13,True
4,8.0,logn30cv15,O-M5,-3.0819791163594346e-13,True,H|O-M10|O-M15|O-M30,-2.0827783941967937e-13,True
4,8.0,logn30cv15,O-M10,-1.3145040611561853e-13,True,H|O-M15|O-M30,1.6342482922482304e-13,True
4,8.0,logn30cv15,O-M15,-2.453592884421596e-13,True,H|O-M30,2.7333690866271354e-13,True
4,8.0,logn30cv15,O-M30,-4.594102875898898e-13,True,H,2.4513724383723456e-13,True
4,16.0,exp30,H,-6.554756737386924e-13,True,,0.0,True
4,16.0,exp30,O*1.5,-8.837375276016246e-14,True,H,7.605027718682322e-13,True
4,16.0,exp30,O*2,-4.072298054325074e-13,True,H|O*1.5,3.8702374638432957e-13,True
4,16.0,exp30,O*3,2.5357493882438575e-13,True,H|O*1.5|O*2,2.4868995751603507e-13,True
4,16.0,exp30,O-M5,2.946698440808859e-10,True,H|O-M10|O-M15|O-M30,-5.113909296028396e-12,True
4,16.0,exp30,O-M10,3.2662761384472105e-13,True,H|O-M15|O-M30,1.8607337892717624e-13,True
4,16.0,exp30,O-M15,-5.617728504603292e-14,True,H|O-M30,1.887379141862766e-13,True
4,16.0,exp30,O-M30,-1.9384494009955233e-13,True,H,2.544631172440859e-13,True
4,16.0,logn30,H,2.1538326677728037e-14,True,,0.0,True
4,16.0,logn30,O*1.5,-3.623767952376511e-13,True,H,1.9984014443252818e-13,True
4,16.0,logn30,O*2,-1.674216321134736e-13,True,H|O*1.5,6.104006189389111e-13,True
4,16.0,logn30,O*3,-8.482103908136196e-14,True,H|O*1.5|O*2,-1.7918999617450027e-13,True
4,16.0,logn30,O-M5,5.897315968894645e-11,True,H|O-M10|O-M15|O-M30,-1.127764548414234e-12,True
4,16.0,logn30,O-M10,1.0680345496894006e-13,True,H|O-M15|O-M30,6.683542608243442e-14,True
4,16.0,logn30,O-M15,-3.304023721284466e-13,True,H|O-M30,-9.57012247226885e-14,True
4,16.0,logn30,O-M30,-1.9162449405030202e-13,True,H,-3.419486915845482e-14,True
4,16.0,logn30cv15,H,-4.2366110619695974e-13,True,,0.0,True
4,16.0,logn30cv15,O*1.5,-5.488942633746774e-13,True,H,4.596323321948148e-14,True
4,16.0,logn30cv15,O*2,-4.1611158962950867e-13,True,H|O*1.5,-4.702904732312163e-13,True
4,16.0,logn30cv15,O*3,5.262457136723242e-13,True,H|O*1.5|O*2,1.056932319443149e-13,True
4,16.0,logn30cv15,O-M5,1.601073718049406e-10,True,H|O-M10|O-M15|O-M30,-2.592037695592353e-12,True
4,16.0,logn30cv15,O-M10,-2.2515322939398175e-13,True,H|O-M15|O-M30,1.1102230246251565e-13,True
4,16.0,logn30cv15,O-M15,-1.5121237595394632e-13,True,H|O-M30,-5.617728504603292e-14,True
4,16.0,logn30cv15,O-M30,-1.0487166690609229e-12,True,H,7.684963776455334e-13,True
8,8.0,exp30,H,-1.1242118347354335e-12,True,,0.0,True
8,8.0,exp30,O*1.5,-1.2261303083960229e-12,True,H,1.9615420399077266e-12,True
8,8.0,exp30,O*2,-2.0228263508670352e-13,True,H|O*1.5,2.653433028854124e-13,True
8,8.0,exp30,O*3,-2.0583534876550402e-13,True,H|O*1.5|O*2,2.757793993168889e-13,True
8,8.0,exp30,O-M5,-1.0258460747536446e-13,True,H|O-M10|O-M15|O-M30,-8.948397578478762e-14,True
8,8.0,exp30,O-M10,-5.371258993136507e-13,True,H|O-M15|O-M30,3.703704010149522e-13,True
8,8.0,exp30,O-M15,-3.610445276081009e-13,True,H|O-M30,2.1604940059205546e-13,True
8,8.0,exp30,O-M30,-7.8026474170656e-13,True,H,8.504308368628699e-14,True
8,8.0,logn30,H,-1.1222134332911082e-12,True,,0.0,True
8,8.0,logn30,O*1.5,-1.950883898871325e-12,True,H,1.5789591856218976e-12,True
8,8.0,logn30,O*2,-6.392664175791651e-13,True,H|O*1.5,1.5849543899548735e-12,True
