c,S,patience,display,min_step,monotone,dominated_by,max_excess_over_dominating,ordered
64,16.0,logn30,O-M5,-8.124612094206896e-13,True,H|O-M10|O-M15|O-M30,1.269651050961329e-12,True
64,16.0,logn30,O-M10,-5.551115123125783e-13,True,H|O-M15|O-M30,1.0630385460785874e-12,True
64,16.0,logn30,O-M15,-6.499245586155666e-13,True,H|O-M30,1.673106098110111e-12,True
64,16.0,logn30,O-M30,-1.1769474284051284e-12,True,H,1.7718049249992873e-12,True
64,16.0,logn30cv15,H,-2.370104112969784e-12,True,,0.0,True
64,16.0,logn30cv15,O*1.5,-8.433254095052689e-13,True,H,1.3875567361765206e-12,True
64,16.0,logn30cv15,O*2,-8.988365607365267e-13,True,H|O*1.5,9.685585666829866e-13,True
64,16.0,logn30cv15,O*3,-9.995337890700284e-13,True,H|O*1.5|O*2,5.755396159656812e-13,True
64,16.0,logn30cv15,O-M5,-7.369660437461789e-13,True,H|O-M10|O-M15|O-M30,8.286704655802168e-13,True
64,16.0,logn30cv15,O-M10,-1.4273027204581012e-12,True,H|O-M15|O-M30,1.542654892716655e-12,True
64,16.0,logn30cv15,O-M15,-1.3564704914870163e-12,True,H|O-M30,1.1968204205459188e-12,True
64,16.0,logn30cv15,O-M30,-1.4380718837969653e-12,True,H,5.353495424742505e-13,True
