office,patience,plan_type,regime,false_balks_per_day,ontime_false_balks_per_day,ontime_share
R16_S16_A0.6,exp30,lean,O*2,40.922,36.499,0.8919
R16_S16_A0.6,exp30,lean,O*3,72.027,65.164,0.9047
R16_S16_A0.6,exp30,lean,O-M5,115.013,105.237,0.915
R16_S16_A0.6,exp30,lean,O-M10,36.187,26.412,0.7299
R16_S16_A0.6,exp30,lean,O-M12.5,19.117,9.341,0.4886
R16_S16_A0.6,exp30,lean,O-M15,9.775,0.0,0.0
R16_S16_A0.6,exp30,lean,O-M17.5,4.718,0.0,0.0
R16_S16_A0.6,exp30,lean,O-M20,2.211,0.0,0.0
R16_S16_A0.6,exp30,lean,O-M30,0.071,0.0,0.0
R16_S16_A0.6,exp30,lean,C,12.425,12.038,0.9689
R16_S16_A0.6,exp30,lean,C0-M5,140.33,130.582,0.9305
R16_S16_A0.6,exp30,lean,C1-M5,143.151,133.403,0.9319
R16_S16_A0.6,exp30,lean,C0-M10,50.364,41.526,0.8245
R16_S16_A0.6,exp30,lean,C1-M10,57.578,48.74,0.8465
R16_S16_A0.6,exp30,lean,C0-M12.5,24.945,17.861,0.716
R16_S16_A0.6,exp30,lean,C1-M12.5,34.146,27.062,0.7925
R16_S16_A0.6,exp30,lean,C0-M15,13.772,8.441,0.6129
R16_S16_A0.6,exp30,lean,C1-M15,24.078,18.747,0.7786
R16_S16_A0.6,exp30,lean,C0-M17.5,7.239,3.667,0.5065
R16_S16_A0.6,exp30,lean,C1-M17.5,18.367,14.78,0.8047
R16_S16_A0.6,exp30,lean,C0-M20,4.655,2.036,0.4374
R16_S16_A0.6,exp30,lean,C1-M20,16.157,13.489,0.8349
R16_S16_A0.6,exp30,lean,C0-M30,0.235,0.028,0.1191
R16_S16_A0.6,exp30,lean,C1-M30,12.589,12.052,0.9573
R16_S16_A0.6,exp30,safe,O*1.5,14.802,14.335,0.9685
R16_S16_A0.6,exp30,safe,O*2,28.151,27.332,0.9709
R16_S16_A0.6,exp30,safe,O*3,50.58,49.308,0.9749
R16_S16_A0.6,exp30,safe,O-M5,74.383,72.541,0.9752
R16_S16_A0.6,exp30,safe,O-M10,14.27,12.427,0.8709
R16_S16_A0.6,exp30,safe,O-M12.5,5.434,3.592,0.661
R16_S16_A0.6,exp30,safe,O-M15,1.843,0.0,0.0
R16_S16_A0.6,exp30,safe,O-M17.5,0.627,0.0,0.0
R16_S16_A0.6,exp30,safe,O-M20,0.201,0.0,0.0
R16_S16_A0.6,exp30,safe,O-M30,0.003,0.0,0.0
R16_S16_A0.6,exp30,safe,C,8.608,8.578,0.9965
R16_S16_A0.6,exp30,safe,C0-M5,91.015,89.184,0.9799
R16_S16_A0.6,exp30,safe,C1-M5,93.741,91.91,0.9805
R16_S16_A0.6,exp30,safe,C0-M10,22.221,20.68,0.9307
R16_S16_A0.6,exp30,safe,C1-M10,28.28,26.739,0.9455
R16_S16_A0.6,exp30,safe,C0-M12.5,9.569,8.422,0.8802
R16_S16_A0.6,exp30,safe,C1-M12.5,16.763,15.617,0.9316
R16_S16_A0.6,exp30,safe,C0-M15,3.833,3.143,0.8197
