office,alpha,patience,history,period,hours_run,new_hours,new_plan,failures_per_day,fitted_family,fitted_mean,fitted_cv
R8,0.2,logn30,3,2,69,67,"[7, 12, 9, 6, 5, 8, 11, 9]",29.53,lognormal,29.4,0.496
R8,0.2,logn30,3,3,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",18.5,lognormal,30.6,0.518
R8,0.2,logn30,3,4,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",43.47,lognormal,30.1,0.509
R8,0.2,logn30,3,5,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",33.87,lognormal,30.1,0.506
R8,0.2,logn30,3,6,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",23.0,lognormal,29.6,0.494
R8,0.2,logn30,3,7,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",24.63,lognormal,29.6,0.491
R8,0.2,logn30,3,8,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",28.1,lognormal,29.5,0.492
R8,0.2,logn30,4,1,78,68,"[7, 12, 9, 6, 5, 9, 11, 9]",7.9,lognormal,28.4,0.435
R8,0.2,logn30,4,2,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",28.5,lognormal,29.7,0.479
R8,0.2,logn30,4,3,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",30.73,lognormal,30.6,0.51
R8,0.2,logn30,4,4,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",30.07,lognormal,30.6,0.507
R8,0.2,logn30,4,5,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",29.5,lognormal,30.3,0.503
R8,0.2,logn30,4,6,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",28.67,lognormal,30.6,0.51
R8,0.2,logn30,4,7,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",26.43,lognormal,30.6,0.513
R8,0.2,logn30,4,8,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",23.37,lognormal,30.7,0.514
R8,0.2,logn30,5,1,78,67,"[7, 12, 9, 6, 5, 8, 11, 9]",7.27,lognormal,24.9,0.357
R8,0.2,logn30,5,2,67,69,"[8, 12, 9, 6, 5, 9, 11, 9]",34.13,lognormal,30.6,0.496
R8,0.2,logn30,5,3,69,69,"[8, 12, 9, 6, 5, 9, 11, 9]",27.33,lognormal,30.8,0.5
R8,0.2,logn30,5,4,69,69,"[8, 12, 9, 6, 5, 9, 11, 9]",32.6,lognormal,30.9,0.503
R8,0.2,logn30,5,5,69,68,"[7, 12, 9, 6, 5, 9, 11, 9]",17.43,lognormal,30.8,0.507
R8,0.2,logn30,5,6,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",31.7,lognormal,30.5,0.506
R8,0.2,logn30,5,7,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",27.77,lognormal,30.5,0.511
R8,0.2,logn30,5,8,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",24.8,lognormal,30.4,0.508
R8,0.2,logn30,6,1,78,67,"[7, 12, 9, 6, 5, 8, 11, 9]",11.8,lognormal,30.0,0.518
R8,0.2,logn30,6,2,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",33.17,lognormal,30.7,0.521
R8,0.2,logn30,6,3,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",31.33,lognormal,30.5,0.521
R8,0.2,logn30,6,4,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",29.63,lognormal,30.7,0.525
R8,0.2,logn30,6,5,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",34.47,lognormal,30.6,0.525
R8,0.2,logn30,6,6,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",36.53,lognormal,30.4,0.521
R8,0.2,logn30,6,7,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",21.1,lognormal,30.4,0.519
R8,0.2,logn30,6,8,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",34.5,lognormal,30.2,0.512
R8,0.2,logn30,7,1,78,69,"[8, 12, 9, 6, 5, 9, 11, 9]",7.63,lognormal,33.7,0.578
R8,0.2,logn30,7,2,69,67,"[7, 12, 9, 6, 5, 8, 11, 9]",26.6,lognormal,30.5,0.517
R8,0.2,logn30,7,3,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",35.93,lognormal,29.7,0.493
R8,0.2,logn30,7,4,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",28.93,lognormal,30.2,0.505
R8,0.2,logn30,7,5,67,68,"[7, 12, 9, 6, 5, 9, 11, 9]",39.33,lognormal,30.0,0.498
R8,0.2,logn30,7,6,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",24.53,lognormal,30.3,0.505
R8,0.2,logn30,7,7,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",28.67,lognormal,30.4,0.506
R8,0.2,logn30,7,8,68,68,"[7, 12, 9, 6, 5, 9, 11, 9]",24.93,lognormal,30.5,0.51
R8,0.2,logn30,8,1,78,67,"[7, 12, 9, 6, 5, 8, 11, 9]",4.83,lognormal,29.1,0.473
R8,0.2,logn30,8,2,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",23.6,lognormal,33.1,0.594
R8,0.2,logn30,8,3,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",29.13,lognormal,30.4,0.522
R8,0.2,logn30,8,4,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",29.2,lognormal,29.9,0.505
R8,0.2,logn30,8,5,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",28.33,lognormal,30.0,0.509
R8,0.2,logn30,8,6,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",29.23,lognormal,29.6,0.497
R8,0.2,logn30,8,7,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",32.73,lognormal,29.9,0.505
R8,0.2,logn30,8,8,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",38.17,lognormal,29.7,0.503
R8,0.2,logn30,9,1,78,67,"[7, 12, 9, 6, 5, 8, 11, 9]",10.73,lognormal,30.4,0.538
R8,0.2,logn30,9,2,67,68,"[7, 12, 9, 6, 5, 9, 11, 9]",26.3,lognormal,29.7,0.478
R8,0.2,logn30,9,3,68,67,"[7, 12, 9, 6, 5, 8, 11, 9]",30.9,lognormal,29.1,0.484
R8,0.2,logn30,9,4,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",32.53,lognormal,29.2,0.486
R8,0.2,logn30,9,5,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",27.83,lognormal,29.4,0.494
R8,0.2,logn30,9,6,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",38.13,lognormal,29.4,0.493
R8,0.2,logn30,9,7,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",22.47,lognormal,29.4,0.493
R8,0.2,logn30,9,8,67,67,"[7, 12, 9, 6, 5, 8, 11, 9]",32.13,lognormal,29.5,0.491
R32,0.1,exp30,0,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",15.9,exp,29.7,1.0
R32,0.1,exp30,0,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",75.87,exp,30.1,1.0
R32,0.1,exp30,0,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",82.53,exp,30.3,1.0
R32,0.1,exp30,0,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",81.87,exp,30.0,1.0
R32,0.1,exp30,0,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.1,exp,30.4,1.0
R32,0.1,exp30,0,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.63,exp,30.3,1.0
R32,0.1,exp30,0,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.7,exp,30.2,1.0
R32,0.1,exp30,0,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",68.37,exp,30.2,1.0
R32,0.1,exp30,1,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",16.17,lognormal,273.0,7.03
R32,0.1,exp30,1,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",80.63,exp,30.2,1.0
R32,0.1,exp30,1,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",76.63,exp,30.1,1.0
R32,0.1,exp30,1,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",79.43,exp,30.1,1.0
R32,0.1,exp30,1,5,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.2,exp,30.2,1.0
R32,0.1,exp30,1,6,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",78.27,exp,30.2,1.0
R32,0.1,exp30,1,7,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",87.57,exp,30.1,1.0
R32,0.1,exp30,1,8,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",73.3,exp,30.1,1.0
R32,0.1,exp30,2,1,277,237,"[26, 44, 31, 19, 17, 29, 41, 30]",17.37,exp,29.7,1.0
R32,0.1,exp30,2,2,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",69.17,exp,29.6,1.0
R32,0.1,exp30,2,3,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",74.8,exp,29.8,1.0
R32,0.1,exp30,2,4,237,237,"[26, 44, 31, 19, 17, 29, 41, 30]",77.0,exp,29.9,1.0
