c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
1,2.0,4.0,30.0,1.0,0,
1,2.0,4.0,120.0,0.5,1,45.0
1,2.0,4.0,120.0,0.9,1,165.0
1,2.0,4.0,120.0,1.0,0,
1,2.0,16.0,10.0,0.5,1,11.5456
1,2.0,16.0,10.0,0.9,1,41.2618
1,2.0,16.0,10.0,1.0,0,
1,2.0,16.0,30.0,0.5,1,11.3128
1,2.0,16.0,30.0,0.9,1,41.25
1,2.0,16.0,30.0,1.0,0,
1,2.0,16.0,120.0,0.5,1,11.2502
1,2.0,16.0,120.0,0.9,1,41.25
1,2.0,16.0,120.0,1.0,0,
2,0.5,4.0,10.0,0.5,1,15.5461
2,0.5,4.0,10.0,0.9,1,16.0798
2,0.5,4.0,10.0,1.0,1,16.2314
2,0.5,4.0,30.0,0.5,1,15.2508
2,0.5,4.0,30.0,0.9,1,15.4724
2,0.5,4.0,30.0,1.0,1,15.5311
2,0.5,4.0,120.0,0.5,1,15.0762
2,0.5,4.0,120.0,0.9,1,15.1391
2,0.5,4.0,120.0,1.0,1,15.1551
2,0.5,16.0,10.0,0.5,1,4.0254
2,0.5,16.0,10.0,0.9,1,4.3456
2,0.5,16.0,10.0,1.0,1,4.4503
2,0.5,16.0,30.0,0.5,1,3.9123
2,0.5,16.0,30.0,0.9,1,4.0762
2,0.5,16.0,30.0,1.0,1,4.124
2,0.5,16.0,120.0,0.5,1,3.8127
2,0.5,16.0,120.0,0.9,1,3.8681
2,0.5,16.0,120.0,1.0,1,3.8828
2,0.8,4.0,10.0,0.5,1,26.2693
2,0.8,4.0,10.0,0.9,1,29.5322
2,0.8,4.0,10.0,1.0,1,30.8941
2,0.8,4.0,30.0,0.5,1,25.2694
2,0.8,4.0,30.0,0.9,1,26.7595
2,0.8,4.0,30.0,1.0,1,27.2585
2,0.8,4.0,120.0,0.5,1,24.4947
2,0.8,4.0,120.0,0.9,1,24.9703
2,0.8,4.0,120.0,1.0,1,25.1044
2,0.8,16.0,10.0,0.5,1,6.9556
2,0.8,16.0,10.0,0.9,1,8.7593
2,0.8,16.0,10.0,1.0,1,9.8529
2,0.8,16.0,30.0,0.5,1,6.6446
2,0.8,16.0,30.0,0.9,1,7.6253
2,0.8,16.0,30.0,1.0,1,8.0643
2,0.8,16.0,120.0,0.5,1,6.3174
2,0.8,16.0,120.0,0.9,1,6.6899
2,0.8,16.0,120.0,1.0,1,6.8146
2,0.95,4.0,10.0,0.5,1,32.3789
2,0.95,4.0,10.0,0.9,1,40.4281
2,0.95,4.0,10.0,1.0,1,47.4965
2,0.95,4.0,30.0,0.5,1,30.9818
2,0.95,4.0,30.0,0.9,1,35.2983
2,0.95,4.0,30.0,1.0,1,37.9813
2,0.95,4.0,120.0,0.5,1,29.7432
2,0.95,4.0,120.0,0.9,1,31.4846
2,0.95,4.0,120.0,1.0,1,32.2408
2,0.95,16.0,10.0,0.5,1,8.6047
2,0.95,16.0,10.0,0.9,1,12.4471
2,0.95,16.0,10.0,1.0,1,18.0831
2,0.95,16.0,30.0,0.5,1,8.1981
2,0.95,16.0,30.0,0.9,1,10.5318
2,0.95,16.0,30.0,1.0,1,12.7956
2,0.95,16.0,120.0,0.5,1,7.7455
2,0.95,16.0,120.0,0.9,1,8.8246
2,0.95,16.0,120.0,1.0,1,9.4953
2,1.0,4.0,10.0,0.5,1,34.5575
2,1.0,4.0,10.0,0.9,1,45.8011
2,1.0,4.0,10.0,1.0,90,275.2051
2,1.0,4.0,30.0,0.5,1,33.0662
2,1.0,4.0,30.0,0.9,1,39.8702
2,1.0,4.0,30.0,1.0,95,136.8005
2,1.0,4.0,120.0,0.5,1,31.7229
2,1.0,4.0,120.0,0.9,1,35.211
2,1.0,4.0,120.0,1.0,105,71.57
2,1.0,16.0,10.0,0.5,1,9.1814
2,1.0,16.0,10.0,0.9,1,14.0907
2,1.0,16.0,10.0,1.0,16,197.7537
2,1.0,16.0,30.0,0.5,1,8.7493
2,1.0,16.0,30.0,0.9,1,11.9331
2,1.0,16.0,30.0,1.0,67,85.8717
2,1.0,16.0,120.0,0.5,1,8.2666
2,1.0,16.0,120.0,0.9,1,9.9676
2,1.0,16.0,120.0,1.0,95,35.9948
2,1.1,4.0,10.0,0.5,1,39.1479
2,1.1,4.0,10.0,0.9,1,62.84
2,1.1,4.0,10.0,1.0,0,
2,1.1,4.0,30.0,0.5,1,37.595
2,1.1,4.0,30.0,0.9,1,60.1014
2,1.1,4.0,30.0,1.0,0,
2,1.1,4.0,120.0,0.5,1,36.3691
2,1.1,4.0,120.0,0.9,1,60.0
2,1.1,4.0,120.0,1.0,0,
2,1.1,16.0,10.0,0.5,1,10.3731
2,1.1,16.0,10.0,0.9,1,18.2709
2,1.1,16.0,10.0,1.0,0,
2,1.1,16.0,30.0,0.5,1,9.9045
2,1.1,16.0,30.0,0.9,1,16.1075
2,1.1,16.0,30.0,1.0,0,
2,1.1,16.0,120.0,0.5,1,9.3987
2,1.1,16.0,120.0,0.9,1,15.0253
2,1.1,16.0,120.0,1.0,0,
2,1.5,4.0,10.0,0.5,1,60.4099
2,1.5,4.0,10.0,0.9,1,180.0
2,1.5,4.0,10.0,1.0,0,
2,1.5,4.0,30.0,0.5,1,60.0115
2,1.5,4.0,30.0,0.9,1,180.0
2,1.5,4.0,30.0,1.0,0,
2,1.5,4.0,120.0,0.5,1,60.0
2,1.5,4.0,120.0,0.9,1,180.0
2,1.5,4.0,120.0,1.0,0,
2,1.5,16.0,10.0,0.5,1,15.571
2,1.5,16.0,10.0,0.9,1,45.0395
2,1.5,16.0,10.0,1.0,0,
2,1.5,16.0,30.0,0.5,1,15.1703
2,1.5,16.0,30.0,0.9,1,45.0
2,1.5,16.0,30.0,1.0,0,
2,1.5,16.0,120.0,0.5,1,15.0029
2,1.5,16.0,120.0,0.9,1,45.0
2,1.5,16.0,120.0,1.0,0,
2,2.0,4.0,10.0,0.5,1,90.0129
2,2.0,4.0,10.0,0.9,1,330.0
2,2.0,4.0,10.0,1.0,0,
2,2.0,4.0,30.0,0.5,1,90.0
2,2.0,4.0,30.0,0.9,1,330.0
2,2.0,4.0,30.0,1.0,0,
2,2.0,4.0,120.0,0.5,1,90.0
2,2.0,4.0,120.0,0.9,1,330.0
2,2.0,4.0,120.0,1.0,0,
2,2.0,16.0,10.0,0.5,1,22.6747
2,2.0,16.0,10.0,0.9,1,82.5001
2,2.0,16.0,10.0,1.0,0,
2,2.0,16.0,30.0,0.5,1,22.5114
2,2.0,16.0,30.0,0.9,1,82.5
2,2.0,16.0,30.0,1.0,0,
2,2.0,16.0,120.0,0.5,1,22.5
2,2.0,16.0,120.0,0.9,1,82.5
2,2.0,16.0,120.0,1.0,0,
4,0.5,4.0,10.0,0.5,1,30.3417
4,0.5,4.0,10.0,0.9,1,30.6402
4,0.5,4.0,10.0,1.0,1,30.7188
4,0.5,4.0,30.0,0.5,1,30.1449
4,0.5,4.0,30.0,0.9,1,30.2655
4,0.5,4.0,30.0,1.0,1,30.2964
4,0.5,4.0,120.0,0.5,1,30.0412
4,0.5,4.0,120.0,0.9,1,30.0746
4,0.5,4.0,120.0,1.0,1,30.083
