c,rho_fresh,S,patience,r,n_roots,total_rate_per_hour
16,1.0,16.0,10.0,0.9,1,76.9226
16,1.0,16.0,10.0,1.0,96,324.4582
16,1.0,16.0,30.0,0.5,1,63.4991
16,1.0,16.0,30.0,0.9,1,71.5544
16,1.0,16.0,30.0,1.0,101,187.232
16,1.0,16.0,120.0,0.5,1,62.1456
16,1.0,16.0,120.0,0.9,1,66.618
16,1.0,16.0,120.0,1.0,119,112.627
16,1.1,4.0,10.0,0.5,1,291.0755
16,1.1,4.0,10.0,0.9,1,480.0001
16,1.1,4.0,10.0,1.0,0,
16,1.1,4.0,30.0,0.5,1,288.4655
16,1.1,4.0,30.0,0.9,1,480.0
16,1.1,4.0,30.0,1.0,0,
16,1.1,4.0,120.0,0.5,1,288.0004
16,1.1,4.0,120.0,0.9,1,480.0
16,1.1,4.0,120.0,1.0,0,
16,1.1,16.0,10.0,0.5,1,74.3164
16,1.1,16.0,10.0,0.9,1,120.2992
16,1.1,16.0,10.0,1.0,0,
16,1.1,16.0,30.0,0.5,1,73.0396
16,1.1,16.0,30.0,0.9,1,120.0004
16,1.1,16.0,30.0,1.0,0,
16,1.1,16.0,120.0,0.5,1,72.1164
16,1.1,16.0,120.0,0.9,1,120.0
16,1.1,16.0,120.0,1.0,0,
16,1.5,4.0,10.0,0.5,1,480.0
16,1.5,4.0,10.0,0.9,1,1440.0
16,1.5,4.0,10.0,1.0,0,
16,1.5,4.0,30.0,0.5,1,480.0
16,1.5,4.0,30.0,0.9,1,1440.0
16,1.5,4.0,30.0,1.0,0,
16,1.5,4.0,120.0,0.5,1,480.0
16,1.5,4.0,120.0,0.9,1,1440.0
16,1.5,4.0,120.0,1.0,0,
16,1.5,16.0,10.0,0.5,1,120.0342
16,1.5,16.0,10.0,0.9,1,360.0
16,1.5,16.0,10.0,1.0,0,
16,1.5,16.0,30.0,0.5,1,120.0
16,1.5,16.0,30.0,0.9,1,360.0
16,1.5,16.0,30.0,1.0,0,
16,1.5,16.0,120.0,0.5,1,120.0
16,1.5,16.0,120.0,0.9,1,360.0
16,1.5,16.0,120.0,1.0,0,
16,2.0,4.0,10.0,0.5,1,720.0
16,2.0,4.0,10.0,0.9,1,2640.0
16,2.0,4.0,10.0,1.0,0,
16,2.0,4.0,30.0,0.5,1,720.0
16,2.0,4.0,30.0,0.9,1,2640.0
16,2.0,4.0,30.0,1.0,0,
16,2.0,4.0,120.0,0.5,1,720.0
16,2.0,4.0,120.0,0.9,1,2640.0
16,2.0,4.0,120.0,1.0,0,
16,2.0,16.0,10.0,0.5,1,180.0
16,2.0,16.0,10.0,0.9,1,660.0
16,2.0,16.0,10.0,1.0,0,
16,2.0,16.0,30.0,0.5,1,180.0
16,2.0,16.0,30.0,0.9,1,660.0
16,2.0,16.0,30.0,1.0,0,
16,2.0,16.0,120.0,0.5,1,180.0
16,2.0,16.0,120.0,0.9,1,660.0
16,2.0,16.0,120.0,1.0,0,
32,0.5,4.0,10.0,0.5,1,240.0008
32,0.5,4.0,10.0,0.9,1,240.0014
32,0.5,4.0,10.0,1.0,1,240.0016
32,0.5,4.0,30.0,0.5,1,240.0003
32,0.5,4.0,30.0,0.9,1,240.0005
32,0.5,4.0,30.0,1.0,1,240.0006
32,0.5,4.0,120.0,0.5,1,240.0001
32,0.5,4.0,120.0,0.9,1,240.0001
32,0.5,4.0,120.0,1.0,1,240.0001
32,0.5,16.0,10.0,0.5,1,60.0007
32,0.5,16.0,10.0,0.9,1,60.0012
32,0.5,16.0,10.0,1.0,1,60.0013
32,0.5,16.0,30.0,0.5,1,60.0003
32,0.5,16.0,30.0,0.9,1,60.0005
32,0.5,16.0,30.0,1.0,1,60.0005
32,0.5,16.0,120.0,0.5,1,60.0001
32,0.5,16.0,120.0,0.9,1,60.0001
32,0.5,16.0,120.0,1.0,1,60.0001
32,0.8,4.0,10.0,0.5,1,385.2612
32,0.8,4.0,10.0,0.9,1,386.3493
32,0.8,4.0,10.0,1.0,1,386.6333
32,0.8,4.0,30.0,0.5,1,384.5344
32,0.8,4.0,30.0,0.9,1,384.9773
32,0.8,4.0,30.0,1.0,1,385.0902
32,0.8,4.0,120.0,0.5,1,384.1522
32,0.8,4.0,120.0,0.9,1,384.2753
32,0.8,4.0,120.0,1.0,1,384.3062
32,0.8,16.0,10.0,0.5,1,96.7243
32,0.8,16.0,10.0,0.9,1,97.4037
32,0.8,16.0,10.0,1.0,1,97.5905
32,0.8,16.0,30.0,0.5,1,96.384
32,0.8,16.0,30.0,0.9,1,96.7199
32,0.8,16.0,30.0,1.0,1,96.8083
32,0.8,16.0,120.0,0.5,1,96.1336
32,0.8,16.0,120.0,0.9,1,96.2443
32,0.8,16.0,120.0,1.0,1,96.2726
32,0.95,4.0,10.0,0.5,1,465.9764
32,0.95,4.0,10.0,0.9,1,479.2455
32,0.95,4.0,10.0,1.0,1,484.3914
32,0.95,4.0,30.0,0.5,1,461.6331
32,0.95,4.0,30.0,0.9,1,467.9866
32,0.95,4.0,30.0,1.0,1,470.0771
32,0.95,4.0,120.0,0.5,1,458.2387
32,0.95,4.0,120.0,0.9,1,460.3636
32,0.95,4.0,120.0,1.0,1,460.9679
32,0.95,16.0,10.0,0.5,1,118.2501
32,0.95,16.0,10.0,0.9,1,125.2353
32,0.95,16.0,10.0,1.0,1,128.8393
32,0.95,16.0,30.0,0.5,1,116.8315
32,0.95,16.0,30.0,0.9,1,120.7713
32,0.95,16.0,30.0,1.0,1,122.3863
32,0.95,16.0,120.0,0.5,1,115.4083
32,0.95,16.0,120.0,0.9,1,116.9967
32,0.95,16.0,120.0,1.0,1,117.5193
32,1.0,4.0,10.0,0.5,1,497.9754
32,1.0,4.0,10.0,0.9,1,537.7697
32,1.0,4.0,10.0,1.0,94,1007.6746
32,1.0,4.0,30.0,0.5,1,492.1069
32,1.0,4.0,30.0,0.9,1,517.104
32,1.0,4.0,30.0,1.0,134,762.2209
32,1.0,4.0,120.0,0.5,1,486.8534
32,1.0,4.0,120.0,0.9,1,500.16
32,1.0,4.0,120.0,1.0,182,611.4817
32,1.0,16.0,10.0,0.5,1,126.7141
32,1.0,16.0,10.0,0.9,1,143.4358
32,1.0,16.0,10.0,1.0,90,453.6306
32,1.0,16.0,30.0,0.5,1,124.9306
32,1.0,16.0,30.0,0.9,1,136.0894
32,1.0,16.0,30.0,1.0,86,280.6445
32,1.0,16.0,120.0,0.5,1,123.0267
32,1.0,16.0,120.0,0.9,1,129.276
32,1.0,16.0,120.0,1.0,133,191.311
32,1.1,4.0,10.0,0.5,1,577.6993
32,1.1,4.0,10.0,0.9,1,960.0
32,1.1,4.0,10.0,1.0,0,
32,1.1,4.0,30.0,0.5,1,576.0617
32,1.1,4.0,30.0,0.9,1,960.0
32,1.1,4.0,30.0,1.0,0,
32,1.1,4.0,120.0,0.5,1,576.0
32,1.1,4.0,120.0,0.9,1,960.0
32,1.1,4.0,120.0,1.0,0,
32,1.1,16.0,10.0,0.5,1,146.1979
32,1.1,16.0,10.0,0.9,1,240.0113
32,1.1,16.0,10.0,1.0,0,
32,1.1,16.0,30.0,0.5,1,144.6845
32,1.1,16.0,30.0,0.9,1,240.0
32,1.1,16.0,30.0,1.0,0,
32,1.1,16.0,120.0,0.5,1,144.0154
32,1.1,16.0,120.0,0.9,1,240.0
32,1.1,16.0,120.0,1.0,0,
32,1.5,4.0,10.0,0.5,1,960.0
32,1.5,4.0,10.0,0.9,1,2880.0
32,1.5,4.0,10.0,1.0,0,
32,1.5,4.0,30.0,0.5,1,960.0
32,1.5,4.0,30.0,0.9,1,2880.0
32,1.5,4.0,30.0,1.0,0,
32,1.5,4.0,120.0,0.5,1,960.0
32,1.5,4.0,120.0,0.9,1,2880.0
32,1.5,4.0,120.0,1.0,0,
32,1.5,16.0,10.0,0.5,1,240.0013
32,1.5,16.0,10.0,0.9,1,720.0
32,1.5,16.0,10.0,1.0,0,
32,1.5,16.0,30.0,0.5,1,240.0
32,1.5,16.0,30.0,0.9,1,720.0
32,1.5,16.0,30.0,1.0,0,
32,1.5,16.0,120.0,0.5,1,240.0
32,1.5,16.0,120.0,0.9,1,720.0
32,1.5,16.0,120.0,1.0,0,
32,2.0,4.0,10.0,0.5,1,1440.0
32,2.0,4.0,10.0,0.9,1,5280.0
32,2.0,4.0,10.0,1.0,0,
32,2.0,4.0,30.0,0.5,1,1440.0
32,2.0,4.0,30.0,0.9,1,5280.0
32,2.0,4.0,30.0,1.0,0,
32,2.0,4.0,120.0,0.5,1,1440.0
32,2.0,4.0,120.0,0.9,1,5280.0
32,2.0,4.0,120.0,1.0,0,
32,2.0,16.0,10.0,0.5,1,360.0
32,2.0,16.0,10.0,0.9,1,1320.0
32,2.0,16.0,10.0,1.0,0,
32,2.0,16.0,30.0,0.5,1,360.0
32,2.0,16.0,30.0,0.9,1,1320.0
32,2.0,16.0,30.0,1.0,0,
32,2.0,16.0,120.0,0.5,1,360.0
32,2.0,16.0,120.0,0.9,1,1320.0
32,2.0,16.0,120.0,1.0,0,
